[GAME] 604931 [DATE] 2020-03-04 [VENUE] Angel Stadium [WEATHER] Sunny 70 2

[TEAM] 108
[FIRST_BASE] Albert Pujols
[LEFT_FIELD] Justin Upton
[PITCHER] Ryan Buchter
[CATCHER] Jason Castro
[PITCHER] JC Ramírez
[PITCHER] Taylor Cole
[PITCHER] Neil Ramírez
[SECOND_BASE] Elliot Soto
[PITCHER] Julio Teheran
[PITCHER] Matt Andriese
[PITCHER] Michael Kohn
[THIRD_BASE] Anthony Rendon
[CATCHER] Max Stassi
[CENTER_FIELD] Mike Trout
[PITCHER] Félix Peña
[SECOND_BASE] Arismendy Alcántara
[PITCHER] Hansel Robles
[RIGHT_FIELD] Brian Goodwin
[PITCHER] Andrew Heaney
[PITCHER] Parker Markel
[PITCHER] Hoby Milner
[PITCHER] Luke Bard
[PITCHER] Cam Bedrosian
[SHORTSTOP] Andrelton Simmons
[SHORTSTOP] Erick Salcedo
[CATCHER] José Briceño
[PITCHER] Mike Mayers
[PITCHER] Dillon Peters
[PITCHER] Noé Ramirez
[SECOND_BASE] Tommy La Stella
[LEFT_FIELD] Gareth Morgan
[PITCHER] Justin Anderson
[PITCHER] Dylan Bundy
[PITCHER] Jacob Barnes
[PITCHER] Ty Buttrey
[OUTFIELD] Taylor Ward
[CATCHER] Anthony Bemboom
[FIRST_BASE] Joey Curletta
[PITCHER] Jake Thompson
[PITCHER] Garrett Williams
[PITCHER] Luiz Gohara
[THIRD_BASE] Luis Aviles Jr.
[PITCHER] Matt Ball
[PITCHER] Tyler Carpenter
[PITCHER] Adrian De Horta
[CENTER_FIELD] Michael Hermosillo
[OUTFIELD] Torii Hunter Jr.
[CENTER_FIELD] Brennon Lund
[PITCHER] Keynan Middleton
[PITCHER] Zac Ryan
[FIRST_BASE] Matt Thaiss
[PITCHER] Jaime Barria
[PITCHER] José Rodríguez
[OUTFIELD] Victor Acosta
[CATCHER] Harrison Wenson
[CATCHER] Keinner Piña
[CATCHER] Franklin Torres
[PITCHER] José Quijada
[SECOND_BASE] Luis Rengifo
[PITCHER] Griffin Canning
[PITCHER] Joe Gatto
[PITCHER] Jeremy Rhoades
[DESIGNATED_HITTER] Shohei Ohtani
[PITCHER] José Suarez
[SHORTSTOP] Leo Rivas
[PITCHER] Ryan Clark
[SECOND_BASE] Jahmai Jones
[CATCHER] Alexis Olmeda
[PITCHER] Patrick Sandoval
[RIGHT_FIELD] David Fletcher
[PITCHER] Nathan Bates
[PITCHER] Adam Hofacket
[PITCHER] Kyle Keller
[DESIGNATED_HITTER] Jared Walsh
[CENTER_FIELD] Jo Adell
[PITCHER] Hector Yan
[CATCHER] Jack Kruger
[CENTER_FIELD] Brandon Marsh
[SHORTSTOP] Connor Justus
[SHORTSTOP] Jeremiah Jackson
[THIRD_BASE] Jordan Zimmerman
[PITCHER] Jason Alexander
[CATCHER] Michael Cruz
[FIRST_BASE] Jose Rojas
[THIRD_BASE] Kevin Maitan
[SHORTSTOP] Livan Soto
[PITCHER] Austin Krzeminski
[SHORTSTOP] Kyren Paris
[OUTFIELD] D'Shawn Knowles
[PITCHER] Max Herrmann
[CENTER_FIELD] Jordyn Adams
[RIGHT_FIELD] Orlando Martinez
[PITCHER] Andrew Wantz
[PITCHER] Austin Warren
[PITCHER] Erik Rivera
[SECOND_BASE] Michael Stefanic
[CENTER_FIELD] Natanael Santana
[PITCHER] Jean Pinto
[CATCHER] Anthony Mulrine
[PITCHER] Alejandro Hidalgo

[TEAM] 136
