[GAME] 605119 [DATE] 2020-02-27 [VENUE] Marlins Park [WEATHER] Clear 63 8

[TEAM] 146
[PITCHER] Brandon Kintzler
[THIRD_BASE] Sean Rodríguez
[DESIGNATED_HITTER] Matt Joyce
[LEFT_FIELD] Matt Kemp
[CATCHER] Francisco Cervelli
[PITCHER] Ryan Cook
[SHORTSTOP] Miguel Rojas
[PITCHER] Brad Boxberger
[PITCHER] Pat Venditte
[CENTER_FIELD] Jonathan Villar
[FIRST_BASE] Jesús Aguilar
[SECOND_BASE] Jon Berti
[PITCHER] Adam Conley
[CATCHER] Ryan Lavarnway
[THIRD_BASE] Christian Lopes
[PITCHER] Yimi García
[PITCHER] José Ureña
[LEFT_FIELD] Corey Dickerson
[PITCHER] Aaron Northcraft
[PITCHER] Caleb Smith
[PITCHER] Ryne Stanek
[PITCHER] Josh A. Smith
[CATCHER] Chad Wallach
[CATCHER] Jorge Alfaro
[THIRD_BASE] Brian Anderson
[PITCHER] Brett Graves
[PITCHER] Stephen Tarpley
[PITCHER] Drew Steckenrider
[DESIGNATED_HITTER] Lewis Brinson
[PITCHER] Elieser Hernández
[CATCHER] Santiago Chávez
[CENTER_FIELD] Harold Ramírez
[CATCHER] B.J. López
[PITCHER] Johan Quezada
[CATCHER] Brian Navarreto
[PITCHER] Pablo López
[PITCHER] Daniel Castano
[FIRST_BASE] Gosuke Katoh
[CENTER_FIELD] Magneuris Sierra
[RIGHT_FIELD] Garrett Cooper
[PITCHER] Sterling Sharp
[PITCHER] Sandy Alcantara
[FIRST_BASE] Lewin Díaz
[PITCHER] Humberto Mejía
[PITCHER] Jeff Brigham
[SECOND_BASE] Isan Díaz
[CENTER_FIELD] Monte Harrison
[PITCHER] Jordan Holloway
[PITCHER] Kolton Mahoney
[PITCHER] McKenzie Mills
[PITCHER] Jordan Yamamoto
[SECOND_BASE] Eddy Alvarez
[FIRST_BASE] Evan Edwards
[PITCHER] Dustin Beggs
[PITCHER] Jorge Guzmán
[PITCHER] Julio Frias
[RIGHT_FIELD] Jesús Sánchez
[PITCHER] Chad Smith
[PITCHER] Nick Neidert
[PITCHER] Sixto Sánchez
[PITCHER] Josh Roeder
[PITCHER] Edward Cabrera
[SHORTSTOP] Jazz Chisholm Jr.
[PITCHER] Braxton Garrett
[LEFT_FIELD] Jerar Encarnacion
[PITCHER] Robert Dugger
[RIGHT_FIELD] JJ Bleday
[PITCHER] Dylan Lee
[PITCHER] Trevor Rogers
[PITCHER] Tommy Eveld
[PITCHER] Alejandro Mateo
[SHORTSTOP] José Devers
[CENTER_FIELD] Victor Mesa
[CENTER_FIELD] Brian Miller
[PITCHER] Alex Vesia
[PITCHER] Tyler Jones
[SHORTSTOP] Isaac De León
[PITCHER] Brian McKenna

[TEAM] 121
[CATCHER] René Rivera
[SECOND_BASE] Robinson Canó
[THIRD_BASE] Eduardo Núñez
[PITCHER] Justin Wilson
[CATCHER] Wilson Ramos
[PITCHER] Dellin Betances
[SECOND_BASE] Jed Lowrie
[LEFT_FIELD] Yoenis Cespedes
[PITCHER] Rick Porcello
[PITCHER] Erasmo Ramírez
[PITCHER] Brad Brach
[PITCHER] Jeurys Familia
[CENTER_FIELD] Jake Marisnick
[PITCHER] Rob Whalen
[PITCHER] Peter Tago
[FIRST_BASE] Matt Adams
[PITCHER] Steven Matz
[PITCHER] Marcus Stroman
[LEFT_FIELD] Jarrett Parker
[PITCHER] Nick Rumbelow
[PITCHER] Chasen Shreve
[PITCHER] Noah Syndergaard
[PITCHER] Jacob deGrom
[THIRD_BASE] J.D. Davis
[PITCHER] Yefry Ramírez
[DESIGNATED_HITTER] Jake Hager
[CENTER_FIELD] Brandon Nimmo
[PITCHER] Robert Gsellman
[PITCHER] Seth Lugo
[PITCHER] Michael Wacha
[PITCHER] Walker Lockett
[PITCHER] Edwin Díaz
[PITCHER] Joe Shaw
[PITCHER] Corey Oswalt
[FIRST_BASE] David Thompson
[CATCHER] Tomás Nido
[SECOND_BASE] Max Moroff
[PITCHER] Drew Smith
[PITCHER] Pedro Payano
[PITCHER] Paul Sewald
[PITCHER] Daniel Zamora
[FIRST_BASE] Pete Alonso
[RIGHT_FIELD] Michael Conforto
[PITCHER] Stephen Gonsalves
[LEFT_FIELD] Tim Tebow
[CATCHER] David Rodríguez
[PITCHER] Tyler Bashlor
[DESIGNATED_HITTER] Ryan Cordell
[CENTER_FIELD] Johneshwy Fargas
[SHORTSTOP] Luis Guillorme
[PITCHER] Thomas McIlraith
[PITCHER] Jacob Rhame
[LEFT_FIELD] Dominic Smith
[PITCHER] Joe Zanghi
[PITCHER] Franklyn Kilome
[PITCHER] Francisco Rios
[PITCHER] Adonis Uceta
[SHORTSTOP] Amed Rosario
[SECOND_BASE] Jeff McNeil
[CATCHER] Ali Sánchez
[SECOND_BASE] Luis Carpio
[PITCHER] Harol González
[OUTFIELD] Quinn Brodey
[PITCHER] David Peterson
[PITCHER] Ryder Ryan
[FIRST_BASE] Jeremy Vasquez
[PITCHER] Matt Blackham
[LEFT_FIELD] Braxton Lee
[THIRD_BASE] Will Toffey
[RIGHT_FIELD] Edgardo Fermin
[CATCHER] Mitch Ghelfi
[PITCHER] Kevin Smith
[PITCHER] Thomas Szapucki
[PITCHER] Ryley Gilliam
[OUTFIELD] Jake Mangum
[OUTFIELD] Wagner Lagrange
[DESIGNATED_HITTER] Patrick Mazeika
[CATCHER] Austin Bossart
[PITCHER] Jordan Humphreys
[SHORTSTOP] Andrés Giménez
[PITCHER] Stephen Nogosek
[INFIELD] Blake Tiberi
[OUTFIELD] Matt Winaker
[PITCHER] Stephen Villines
[SHORTSTOP] Federico Polanco
[SHORTSTOP] Manny Rodriguez
[PITCHER] Saul Gonzalez
[SECOND_BASE] Luke Ritter
[RIGHT_FIELD] Freddy Valdez
[CATCHER] Endy Rodríguez
[PITCHER] Josh Wolf
[CATCHER] Ariel Yera
[CATCHER] Matt O'Neill
[PITCHER] Jose Acuna
[SHORTSTOP] Victor González
[PITCHER] Franklin Sanchez

[GAME_START]
[PLAY] Flyout [BATTER] Eduardo Núñez [PITCHER] Robert Dugger [FIELDERS] Garrett Cooper [MOVEMENTS] Eduardo Núñez home -> home [out]
[PLAY] Flyout [BATTER] Michael Conforto [PITCHER] Robert Dugger [FIELDERS] Jonathan Villar [MOVEMENTS] Michael Conforto home -> home [out]
[PLAY] Double [BATTER] Pete Alonso [PITCHER] Robert Dugger [MOVEMENTS] Pete Alonso home -> 2
[PLAY] Pickoff Caught Stealing [BASE] 3 [RUNNER] Pete Alonso [FIELDERS] Ryan Lavarnway [MOVEMENTS] Pete Alonso 2 -> home [out]
[PLAY] Groundout [BATTER] Jonathan Villar [PITCHER] Rick Porcello [FIELDERS] Pete Alonso [MOVEMENTS] Jonathan Villar home -> home [out]
[PLAY] Strikeout [BATTER] Brian Anderson [PITCHER] Rick Porcello [MOVEMENTS] Brian Anderson home -> home [out]
[PLAY] Single [BATTER] Corey Dickerson [PITCHER] Rick Porcello [MOVEMENTS] Corey Dickerson home -> 1
[PLAY] Single [BATTER] Jesús Aguilar [PITCHER] Rick Porcello [MOVEMENTS] Jesús Aguilar home -> 1, Corey Dickerson 1 -> 2, Corey Dickerson 2 -> 3
[PLAY] Forceout [BATTER] Garrett Cooper [PITCHER] Rick Porcello [FIELDERS] Luis Guillorme [MOVEMENTS] Jesús Aguilar 1 -> home [out], Garrett Cooper home -> 1
[PLAY] Strikeout [BATTER] Ryan Cordell [PITCHER] Robert Dugger [MOVEMENTS] Ryan Cordell home -> home [out]
[PLAY] Strikeout [BATTER] Jake Marisnick [PITCHER] Robert Dugger [MOVEMENTS] Jake Marisnick home -> home [out]
[PLAY] Walk [BATTER] Luis Guillorme [PITCHER] Robert Dugger [MOVEMENTS] Luis Guillorme home -> 1
[PLAY] Strikeout [BATTER] Tomás Nido [PITCHER] Robert Dugger [MOVEMENTS] Tomás Nido home -> home [out]
[PLAY] Groundout [BATTER] Matt Joyce [PITCHER] Rick Porcello [FIELDERS] Max Moroff [MOVEMENTS] Matt Joyce home -> home [out]
[PLAY] Groundout [BATTER] Jon Berti [PITCHER] Rick Porcello [FIELDERS] Eduardo Núñez [MOVEMENTS] Jon Berti home -> home [out]
[PLAY] Strikeout [BATTER] Ryan Lavarnway [PITCHER] Rick Porcello [MOVEMENTS] Ryan Lavarnway home -> home [out]
[PLAY] Strikeout [BATTER] Jarrett Parker [PITCHER] Robert Dugger [MOVEMENTS] Jarrett Parker home -> home [out]
[PLAY] Groundout [BATTER] Max Moroff [PITCHER] Robert Dugger [FIELDERS] Brian Anderson [MOVEMENTS] Max Moroff home -> home [out]
[PLAY] Double [BATTER] Eduardo Núñez [PITCHER] Robert Dugger [MOVEMENTS] Eduardo Núñez home -> 2
[PLAY] Single [BATTER] Michael Conforto [PITCHER] Robert Dugger [MOVEMENTS] Michael Conforto home -> 1, Eduardo Núñez 2 -> 3
[PLAY] Strikeout [BATTER] Pete Alonso [PITCHER] Brad Boxberger [MOVEMENTS] Pete Alonso home -> home [out]
[PLAY] Strikeout [BATTER] Miguel Rojas [PITCHER] Brad Brach [MOVEMENTS] Miguel Rojas home -> home [out]
[PLAY] Pop Out [BATTER] Jonathan Villar [PITCHER] Brad Brach [FIELDERS] Pete Alonso [MOVEMENTS] Jonathan Villar home -> home [out]
[PLAY] Groundout [BATTER] Brian Anderson [PITCHER] Brad Brach [FIELDERS] Luis Guillorme [MOVEMENTS] Brian Anderson home -> home [out]
[PLAY] Flyout [BATTER] Ryan Cordell [PITCHER] Brad Boxberger [FIELDERS] Corey Dickerson [MOVEMENTS] Ryan Cordell home -> home [out]
[PLAY] Hit By Pitch [BATTER] Jake Marisnick [PITCHER] Brad Boxberger [MOVEMENTS] Jake Marisnick home -> 1
[PLAY] Strikeout [BATTER] Luis Guillorme [PITCHER] Brad Boxberger [MOVEMENTS] Jake Marisnick 1 -> home [out], Luis Guillorme home -> home [out]
[PLAY] Strikeout [BATTER] Corey Dickerson [PITCHER] Robert Gsellman [MOVEMENTS] Corey Dickerson home -> home [out]
[PLAY] Groundout [BATTER] Jesús Aguilar [PITCHER] Robert Gsellman [FIELDERS] Luis Guillorme [MOVEMENTS] Jesús Aguilar home -> home [out]
[PLAY] Lineout [BATTER] Garrett Cooper [PITCHER] Robert Gsellman [FIELDERS] Jarrett Parker [MOVEMENTS] Garrett Cooper home -> home [out]
[PLAY] Groundout [BATTER] Tomás Nido [PITCHER] Jordan Yamamoto [FIELDERS] Jordan Yamamoto [MOVEMENTS] Tomás Nido home -> home [out]
[PLAY] Strikeout [BATTER] Jarrett Parker [PITCHER] Jordan Yamamoto [MOVEMENTS] Jarrett Parker home -> home [out]
[PLAY] Single [BATTER] Max Moroff [PITCHER] Jordan Yamamoto [MOVEMENTS] Max Moroff home -> 1
[PLAY] Groundout [BATTER] Eduardo Núñez [PITCHER] Jordan Yamamoto [FIELDERS] Brian Anderson [MOVEMENTS] Eduardo Núñez home -> home [out]
[PLAY] Single [BATTER] Matt Joyce [PITCHER] Corey Oswalt [MOVEMENTS] Matt Joyce home -> 1
[PLAY] Sac Bunt [BATTER] Jon Berti [PITCHER] Corey Oswalt [FIELDERS] Corey Oswalt [RUNNER] Lewis Brinson [MOVEMENTS] Jon Berti home -> home [out], Lewis Brinson 1 -> 2
[PLAY] Double [BATTER] Ryan Lavarnway [PITCHER] Corey Oswalt [MOVEMENTS] Ryan Lavarnway home -> 2, Lewis Brinson 2 -> 3, Lewis Brinson 3 -> 4
[PLAY] Flyout [BATTER] Miguel Rojas [PITCHER] Corey Oswalt [FIELDERS] Michael Conforto [MOVEMENTS] Miguel Rojas home -> home [out]
[PLAY] Groundout [BATTER] Victor Mesa [PITCHER] Corey Oswalt [FIELDERS] Luis Guillorme [MOVEMENTS] Victor Mesa home -> home [out]
[PLAY] Hit By Pitch [BATTER] Michael Conforto [PITCHER] Jordan Yamamoto [MOVEMENTS] Michael Conforto home -> 1
[PLAY] Flyout [BATTER] Pete Alonso [PITCHER] Jordan Yamamoto [FIELDERS] Victor Mesa [MOVEMENTS] Pete Alonso home -> home [out]
[PLAY] Pop Out [BATTER] Patrick Mazeika [PITCHER] Jordan Yamamoto [FIELDERS] José Devers [MOVEMENTS] Patrick Mazeika home -> home [out]
[PLAY] Lineout [BATTER] Johneshwy Fargas [PITCHER] Jordan Yamamoto [FIELDERS] Jesús Sánchez [MOVEMENTS] Johneshwy Fargas home -> home [out]
[PLAY] Groundout [BATTER] Christian Lopes [PITCHER] Corey Oswalt [FIELDERS] Will Toffey [MOVEMENTS] Christian Lopes home -> home [out]
[PLAY] Double [BATTER] Jerar Encarnacion [PITCHER] Corey Oswalt [MOVEMENTS] Jerar Encarnacion home -> 2
[PLAY] Flyout [BATTER] Gosuke Katoh [PITCHER] Corey Oswalt [FIELDERS] Jarrett Parker [MOVEMENTS] Gosuke Katoh home -> home [out]
[PLAY] Strikeout [BATTER] Jesús Sánchez [PITCHER] Corey Oswalt [MOVEMENTS] Jesús Sánchez home -> home [out]
[PLAY] Double [BATTER] Andrés Giménez [PITCHER] Jordan Yamamoto [MOVEMENTS] Andrés Giménez home -> 2
