[GAME] 605126 [DATE] 2020-03-11 [VENUE] Marlins Park [WEATHER] Sunny 75 9

[TEAM] 146
[PITCHER] Brandon Kintzler
[SHORTSTOP] Sean Rodríguez
[LEFT_FIELD] Matt Joyce
[LEFT_FIELD] Matt Kemp
[CATCHER] Francisco Cervelli
[PITCHER] Ryan Cook
[SHORTSTOP] Miguel Rojas
[PITCHER] Brad Boxberger
[PITCHER] Pat Venditte
[OUTFIELD] Jonathan Villar
[FIRST_BASE] Jesús Aguilar
[THIRD_BASE] Jon Berti
[PITCHER] Adam Conley
[CATCHER] Ryan Lavarnway
[THIRD_BASE] Christian Lopes
[PITCHER] Yimi García
[PITCHER] José Ureña
[OUTFIELD] Corey Dickerson
[PITCHER] Aaron Northcraft
[PITCHER] Caleb Smith
[PITCHER] Ryne Stanek
[PITCHER] Josh A. Smith
[CATCHER] Chad Wallach
[CATCHER] Jorge Alfaro
[THIRD_BASE] Brian Anderson
[PITCHER] Brett Graves
[PITCHER] Stephen Tarpley
[PITCHER] Drew Steckenrider
[CENTER_FIELD] Lewis Brinson
[PITCHER] Elieser Hernández
[CATCHER] Santiago Chávez
[RIGHT_FIELD] Harold Ramírez
[SHORTSTOP] Bryson Brigman
[CATCHER] B.J. López
[PITCHER] Johan Quezada
[CATCHER] Brian Navarreto
[PITCHER] Pablo López
[PITCHER] Daniel Castano
[FIRST_BASE] Gosuke Katoh
[RIGHT_FIELD] Magneuris Sierra
[PITCHER] Parker Bugg
[FIRST_BASE] Garrett Cooper
[PITCHER] Sterling Sharp
[PITCHER] Sandy Alcantara
[PITCHER] Jeff Brigham
[SECOND_BASE] Isan Díaz
[SHORTSTOP] Joe Dunand
[RIGHT_FIELD] Stone Garrett
[CENTER_FIELD] Monte Harrison
[PITCHER] Kolton Mahoney
[PITCHER] McKenzie Mills
[SECOND_BASE] Justin Twine
[PITCHER] Jordan Yamamoto
[THIRD_BASE] Eddy Alvarez
[FIRST_BASE] Evan Edwards
[PITCHER] Dustin Beggs
[THIRD_BASE] Bubba Hollins
[PINCH_HITTER] Riley Mahan
[PITCHER] Julio Frias
[PITCHER] Chad Smith
[PITCHER] Nick Neidert
[CATCHER] Nick Fortes
[PITCHER] Josh Roeder
[PITCHER] Braxton Garrett
[RIGHT_FIELD] Jerar Encarnacion
[PITCHER] Robert Dugger
[CATCHER] J.D. Osborne
[RIGHT_FIELD] JJ Bleday
[PITCHER] Dylan Lee
[PITCHER] Sean Reynolds
[PITCHER] Trevor Rogers
[PITCHER] Tommy Eveld
[OUTFIELD] Kameron Misner
[PITCHER] Alejandro Mateo
[SHORTSTOP] José Devers
[LEFT_FIELD] Victor Mesa
[LEFT_FIELD] Brian Miller
[SECOND_BASE] Demetrius Sims
[PITCHER] Tyler Stevens
[CATCHER] Will Banfield
[PITCHER] Alex Vesia
[PITCHER] Tyler Jones
[SHORTSTOP] Isaac De León
[THIRD_BASE] Nic Ready
[PITCHER] Brian McKenna

[TEAM] 147
[CATCHER] Chris Iannetta
[CATCHER] Erik Kratz
[PITCHER] J.A. Happ
[CENTER_FIELD] Brett Gardner
[CATCHER] Josh Thole
[PITCHER] Adam Ottavino
[PITCHER] Luis Avilán
[PITCHER] Zack Britton
[PITCHER] Chad Bettis
[SECOND_BASE] DJ LeMahieu
[PITCHER] Dan Otero
[LEFT_FIELD] Giancarlo Stanton
[PITCHER] Gerrit Cole
[CENTER_FIELD] Aaron Hicks
[DESIGNATED_HITTER] Kyle Higashioka
[PITCHER] Tony Zych
[PITCHER] Tyler Lyons
[PITCHER] Masahiro Tanaka
[PITCHER] Aroldis Chapman
[THIRD_BASE] Gio Urshela
[PITCHER] Luis Cessa
[PITCHER] David Hale
[PITCHER] James Paxton
[FIRST_BASE] Luke Voit
[CATCHER] Kellin Deglan
[RIGHT_FIELD] Aaron Judge
[PITCHER] Tommy Kahnle
[CATCHER] Wynston Sawyer
[OUTFIELD] Rosell Herrera
[CATCHER] Gary Sánchez
[PITCHER] Matt Wivinis
[PITCHER] Nick Tropeano
[LEFT_FIELD] Miguel Andujar
[PITCHER] Ben Heller
[PITCHER] Luis Severino
[THIRD_BASE] Angel Aguilar
[RIGHT_FIELD] Clint Frazier
[DESIGNATED_HITTER] Thomas Milone
[SHORTSTOP] Tyler Wade
[PITCHER] Jonathan Loáisiga
[SECOND_BASE] Thairo Estrada
[PITCHER] Domingo Acevedo
[LEFT_FIELD] Zack Granite
[PITCHER] Chad Green
[PITCHER] Nick Green
[CENTER_FIELD] Mike Tauchman
[FIRST_BASE] Brandon Wagner
[PITCHER] Anderson Severino
[FIRST_BASE] Mike Ford
[SHORTSTOP] Gleyber Torres
[PITCHER] Michael King
[CATCHER] Eduardo Navas
[PITCHER] Adonis Rosa
[PITCHER] Daniel Álvarez
[PITCHER] Keegan Curtis
[OUTFIELD] Isiah Gilliam
[FIRST_BASE] Chris Gittens
[PITCHER] Jonathan Holder
[PITCHER] Josh Maciejewski
[PITCHER] Jordan Montgomery
[PITCHER] James Reeves
[PITCHER] Glenn Otto
[PITCHER] Clarke Schmidt
[LEFT_FIELD] Zack Zehner
[INFIELD] Wilkerman Garcia
[INFIELD] Diego A. Castillo
[INFIELD] Dérmis Garcia
[CATCHER] Jason Lopez
[CENTER_FIELD] Pablo Olivares
[SHORTSTOP] Hoy Park
[SHORTSTOP] Max Burt
[PITCHER] Brian Keller
[CENTER_FIELD] Brandon Lockridge
[OUTFIELD] Josh Stowers
[RIGHT_FIELD] Trey Amburgey
[SECOND_BASE] Kyle Holder
[PITCHER] Carlos Espinal
[CENTER_FIELD] Estevan Florial
[CATCHER] Donny Sands
[PITCHER] Deivi García
[PITCHER] Elvis Peguero
[SHORTSTOP] Oswaldo Cabrera
[THIRD_BASE] Andrés Chaparro
[PITCHER] Jhony Brito
[PITCHER] Braden Bristo
[THIRD_BASE] Armando Alvarez
[SECOND_BASE] Josh Smith
[PITCHER] Greg Weissert
[PITCHER] Hayden Wesneski
[PITCHER] Alexander Vizcaíno
[PITCHER] Trevor Lane
[RIGHT_FIELD] Ben Ruta
[CATCHER] Saul Torres
[PITCHER] Kaleb Ort
[PITCHER] Roansy Contreras
[SHORTSTOP] Oswald Peraza
[PITCHER] Yoendrys Gómez
[PITCHER] Mick Vorhof
[PITCHER] Anderson Munoz
[PITCHER] T.J. Sikkema
[CENTER_FIELD] Canaan Smith-Njigba
[PITCHER] Janson Junk
[PITCHER] Shawn Semple
[PITCHER] Kyle Zurak
[PITCHER] JP Sears
[CATCHER] Josh Breaux
[OUTFIELD] Everson Pereira
[SECOND_BASE] Ezequiel Duran
[CATCHER] Anthony Seigler
[CATCHER] Antonio Cabello
[CENTER_FIELD] Ryder Green
[PITCHER] Daniel Bies
[PITCHER] Frank German
[SECOND_BASE] Matt Pita
[OUTFIELD] Kevin Alcántara
[SECOND_BASE] Anthony Volpe
[SHORTSTOP] Maikol Escotto

[GAME_START]
[PLAY] Groundout [BATTER] Mike Tauchman [PITCHER] Sandy Alcantara [FIELDERS] Isan Díaz [MOVEMENTS] Mike Tauchman home -> home [out]
[PLAY] Strikeout [BATTER] Gio Urshela [PITCHER] Sandy Alcantara [MOVEMENTS] Gio Urshela home -> home [out]
[PLAY] Strikeout [BATTER] Mike Ford [PITCHER] Sandy Alcantara [MOVEMENTS] Mike Ford home -> home [out]
[PLAY] Flyout [BATTER] Lewis Brinson [PITCHER] Deivi García [FIELDERS] Mike Tauchman [MOVEMENTS] Lewis Brinson home -> home [out]
[PLAY] Strikeout [BATTER] Francisco Cervelli [PITCHER] Deivi García [MOVEMENTS] Francisco Cervelli home -> home [out]
[PLAY] Groundout [BATTER] Isan Díaz [PITCHER] Deivi García [FIELDERS] Mike Ford [MOVEMENTS] Isan Díaz home -> home [out]
