[GAME] 642130 [DATE] 2021-03-17 [VENUE] Wrigley Field [WEATHER] Clear 71 1

[TEAM] 112
[CATCHER] Jose Lobaton
[PITCHER] Jake Arrieta
[LEFT_FIELD] Cameron Maybin
[PITCHER] Robert Stock
[RIGHT_FIELD] Jason Heyward
[PITCHER] Craig Kimbrel
[FIRST_BASE] Anthony Rizzo
[CATCHER] Austin Romine
[SECOND_BASE] Eric Sogard
[PITCHER] Brandon Workman
[RIGHT_FIELD] Rafael Ortega
[PITCHER] Kyle Hendricks
[SECOND_BASE] Ildemaro Vargas
[CENTER_FIELD] Jake Marisnick
[PITCHER] Rex Brothers
[PITCHER] Shelby Miller
[PITCHER] Ryan Tepera
[CATCHER] Willson Contreras
[PITCHER] Jason Adam
[THIRD_BASE] Kris Bryant
[LEFT_FIELD] Joc Pederson
[PITCHER] D.J. Snelten
[PITCHER] Rowan Wick
[PITCHER] Trevor Williams
[PITCHER] Kyle Ryan
[PITCHER] Dan Winkler
[SHORTSTOP] Javier Báez
[PITCHER] Dillon Maples
[PITCHER] Andrew Chafin
[PITCHER] Zach Davies
[LEFT_FIELD] Nick Martini
[PITCHER] Adam Morgan
[PITCHER] Joe Biagini
[PITCHER] Michael Rucker
[PITCHER] Alec Mills
[FIRST_BASE] Patrick Wisdom
[THIRD_BASE] Matt Duffy
[SECOND_BASE] Abiatal Avelino
[PITCHER] Brad Wieck
[SECOND_BASE] Trent Giambrone
[SECOND_BASE] David Bote
[PITCHER] James Bourque
[PITCHER] Adbert Alzolay
[CENTER_FIELD] Michael Hermosillo
[OUTFIELD] Ian Miller
[CATCHER] Taylor Gushue
[PITCHER] Jonathan Holder
[PITCHER] Trevor Megill
[PITCHER] James Norwood
[PITCHER] Justin Steele
[PITCHER] Jake Jewell
[PITCHER] Jerry Vasto
[SECOND_BASE] Nico Hoerner
[FIRST_BASE] Alfonso Rivas III
[PITCHER] Brendon Little
[CENTER_FIELD] Ian Happ
[PINCH_HITTER] P.J. Higgins
[CATCHER] Tyler Payne
[PITCHER] Brailyn Marquez
[THIRD_BASE] Christopher Morel
[PITCHER] Tommy Nance
[SECOND_BASE] Chase Strumpf
[PITCHER] Juan Gámez
[CENTER_FIELD] Brennen Davis
[SHORTSTOP] Andy Weber
[PITCHER] Alfredo Zarraga

[TEAM] 135
[PITCHER] Mark Melancon
[SHORTSTOP] Pedro Florimón
[PITCHER] Craig Stammen
[LEFT_FIELD] Tommy Pham
[PITCHER] Yu Darvish
[PITCHER] Drew Pomeranz
[FIRST_BASE] Eric Hosmer
[CATCHER] Austin Nola
[PITCHER] Daniel Camarena
[PITCHER] Parker Markel
[RIGHT_FIELD] Wil Myers
[PITCHER] Pierce Johnson
[PITCHER] Aaron Northcraft
[PITCHER] Chase Johnson
[THIRD_BASE] Manny Machado
[CATCHER] Wynston Sawyer
[PITCHER] Taylor Williams
[CATCHER] Webster Rivas
[CENTER_FIELD] Jurickson Profar
[PITCHER] Nick Burdi
[PITCHER] Nick Ramirez
[CATCHER] Victor Caratini
[PITCHER] Keone Kela
[PITCHER] Joe Musgrove
[PITCHER] Blake Snell
[PITCHER] Austin Adams
[PITCHER] Steven Wilson
[PITCHER] Matt Strahm
[PITCHER] Brady Feigl
[PITCHER] Nabil Crismatt
[PINCH_HITTER] Ivan Castillo
[CENTER_FIELD] Jorge Mateo
[PITCHER] Miguel Díaz
[LEFT_FIELD] Patrick Kivlehan
[FIRST_BASE] Jake Cronenworth
[SECOND_BASE] Gosuke Katoh
[PITCHER] Emilio Pagán
[PITCHER] Jacob Rhame
[PITCHER] Javy Guerra
[PITCHER] Dan Altavilla
[PITCHER] Jacob Nix
[PITCHER] James Reeves
[THIRD_BASE] Nick Tanielu
[RIGHT_FIELD] Brian O'Grady
[PITCHER] Tim Hill
[PITCHER] Pedro Avila
[PITCHER] Anderson Espinoza
[PITCHER] Dinelson Lamet
[PITCHER] Mason Fox
[PITCHER] Reiss Knehr
[RIGHT_FIELD] Trent Grisham
[PITCHER] Chris Paddack
[SHORTSTOP] Fernando Tatis Jr.
[PITCHER] Mason Thompson
[THIRD_BASE] Eguy Rosario
[PITCHER] Dauris Valdez
[CATCHER] Juan Fernandez
[PITCHER] MacKenzie Gore
[FIRST_BASE] Luis Campusano
[LEFT_FIELD] Jack Suwinski
[PITCHER] Aaron Leasher
[PITCHER] Evan Miller
[PITCHER] Adrian Morejon
[PINCH_HITTER] Jorge Oña
[PITCHER] Michell Miliano
[SECOND_BASE] Tucupita Marcano
[PITCHER] Michel Baez
[SECOND_BASE] Ha-Seong Kim
[CATCHER] Jonny Homza
[PITCHER] Ryan Weathers
[SHORTSTOP] CJ Abrams
[OUTFIELD] Joshua Mears
[PITCHER] Ethan Elliott
[OUTFIELD] Robert Hassell III
[PITCHER] Brayan Medina
[PITCHER] Justin Lange
[PITCHER] Jagger Haynes

[GAME_START]
[PLAY] Single [BATTER] Tommy Pham [PITCHER] Kyle Hendricks [MOVEMENTS] Tommy Pham home -> 1
[PLAY] Pop Out [BATTER] Jake Cronenworth [PITCHER] Kyle Hendricks [FIELDERS] Kris Bryant [MOVEMENTS] Jake Cronenworth home -> home [out]
[PLAY] Single [BATTER] Manny Machado [PITCHER] Kyle Hendricks [MOVEMENTS] Manny Machado home -> 1, Tommy Pham 1 -> 2
[PLAY] Strikeout [BATTER] Wil Myers [PITCHER] Kyle Hendricks [MOVEMENTS] Wil Myers home -> home [out]
[PLAY] Groundout [BATTER] Jurickson Profar [PITCHER] Kyle Hendricks [FIELDERS] Nico Hoerner [MOVEMENTS] Jurickson Profar home -> home [out]
[PLAY] Walk [BATTER] Ian Happ [PITCHER] Chris Paddack [MOVEMENTS] Ian Happ home -> 1
[PLAY] Single [BATTER] Willson Contreras [PITCHER] Chris Paddack [MOVEMENTS] Willson Contreras home -> 1, Ian Happ 1 -> 2, Ian Happ 2 -> 3
[PLAY] Strikeout [BATTER] Anthony Rizzo [PITCHER] Chris Paddack [MOVEMENTS] Anthony Rizzo home -> home [out]
[PLAY] Walk [BATTER] Kris Bryant [PITCHER] Chris Paddack [MOVEMENTS] Willson Contreras 1 -> 2, Ian Happ 3 -> 4, Kris Bryant home -> 1
[PLAY] Pop Out [BATTER] Joc Pederson [PITCHER] Chris Paddack [FIELDERS] Manny Machado [MOVEMENTS] Joc Pederson home -> home [out]
[PLAY] Forceout [BATTER] Javier Báez [PITCHER] Chris Paddack [FIELDERS] Manny Machado [MOVEMENTS] Kris Bryant 1 -> home [out], Javier Báez home -> 1
[PLAY] Groundout [BATTER] Luis Campusano [PITCHER] Kyle Hendricks [FIELDERS] Kyle Hendricks [MOVEMENTS] Luis Campusano home -> home [out]
[PLAY] Strikeout [BATTER] Ha-Seong Kim [PITCHER] Kyle Hendricks [MOVEMENTS] Ha-Seong Kim home -> home [out]
[PLAY] Lineout [BATTER] CJ Abrams [PITCHER] Kyle Hendricks [FIELDERS] Ian Happ [MOVEMENTS] CJ Abrams home -> home [out]
[PLAY] Strikeout [BATTER] Jason Heyward [PITCHER] Chris Paddack [MOVEMENTS] Jason Heyward home -> home [out]
[PLAY] Groundout [BATTER] Nico Hoerner [PITCHER] Chris Paddack [FIELDERS] Ha-Seong Kim [MOVEMENTS] Nico Hoerner home -> home [out]
[PLAY] Single [BATTER] Kyle Hendricks [PITCHER] Chris Paddack [MOVEMENTS] Kyle Hendricks home -> 1
[PLAY] Single [BATTER] Ian Happ [PITCHER] Chris Paddack [MOVEMENTS] Ian Happ home -> 1, Kyle Hendricks 1 -> 2
[PLAY] Home Run [BATTER] Willson Contreras [PITCHER] Chris Paddack [MOVEMENTS] Willson Contreras home -> 4, Kyle Hendricks 2 -> 4, Ian Happ 1 -> 4
[PLAY] Hit By Pitch [BATTER] Anthony Rizzo [PITCHER] Chris Paddack [MOVEMENTS] Anthony Rizzo home -> 1
[PLAY] Walk [BATTER] Kris Bryant [PITCHER] Chris Paddack [MOVEMENTS] Anthony Rizzo 1 -> 2, Kris Bryant home -> 1
[PLAY] Walk [BATTER] Joc Pederson [PITCHER] Dan Altavilla [MOVEMENTS] Anthony Rizzo 2 -> 3, Kris Bryant 1 -> 2, Joc Pederson home -> 1
[PLAY] Pop Out [BATTER] Javier Báez [PITCHER] Dan Altavilla [FIELDERS] Jake Cronenworth [MOVEMENTS] Javier Báez home -> home [out]
[PLAY] Strikeout [BATTER] Jorge Oña [PITCHER] Kyle Hendricks [MOVEMENTS] Jorge Oña home -> home [out]
[PLAY] Single [BATTER] Tommy Pham [PITCHER] Kyle Hendricks [MOVEMENTS] Tommy Pham home -> 1
[PLAY] Triple [BATTER] Jake Cronenworth [PITCHER] Kyle Hendricks [MOVEMENTS] Jake Cronenworth home -> 3, Tommy Pham 1 -> 4
[PLAY] Sac Fly [BATTER] Manny Machado [PITCHER] Kyle Hendricks [FIELDERS] Joc Pederson [SCORING_RUNNER] Jake Cronenworth [MOVEMENTS] Manny Machado home -> home [out], Jake Cronenworth 3 -> 4
[PLAY] Strikeout [BATTER] Wil Myers [PITCHER] Kyle Hendricks [MOVEMENTS] Wil Myers home -> home [out]
[PLAY] Strikeout [BATTER] Jason Heyward [PITCHER] Craig Stammen [MOVEMENTS] Jason Heyward home -> home [out]
[PLAY] Groundout [BATTER] Nico Hoerner [PITCHER] Craig Stammen [FIELDERS] CJ Abrams [MOVEMENTS] Nico Hoerner home -> home [out]
[PLAY] Strikeout [BATTER] Kyle Hendricks [PITCHER] Craig Stammen [MOVEMENTS] Kyle Hendricks home -> home [out]
[PLAY] Walk [BATTER] Jurickson Profar [PITCHER] Kyle Hendricks [MOVEMENTS] Jurickson Profar home -> 1
[PLAY] Flyout [BATTER] Luis Campusano [PITCHER] Kyle Hendricks [FIELDERS] Ian Happ [MOVEMENTS] Luis Campusano home -> home [out]
[PLAY] Lineout [BATTER] Ha-Seong Kim [PITCHER] Juan Gámez [FIELDERS] Ian Happ [MOVEMENTS] Ha-Seong Kim home -> home [out]
[PLAY] Caught Stealing [BASE] 2 [RUNNER] Jurickson Profar [FIELDERS] Willson Contreras [MOVEMENTS] Jurickson Profar 1 -> home [out]
[PLAY] Strikeout [BATTER] Ian Happ [PITCHER] Craig Stammen [MOVEMENTS] Ian Happ home -> home [out]
[PLAY] Flyout [BATTER] Willson Contreras [PITCHER] Craig Stammen [FIELDERS] Tommy Pham [MOVEMENTS] Willson Contreras home -> home [out]
[PLAY] Home Run [BATTER] Anthony Rizzo [PITCHER] Craig Stammen [MOVEMENTS] Anthony Rizzo home -> 4
[PLAY] Strikeout [BATTER] Kris Bryant [PITCHER] Craig Stammen [MOVEMENTS] Kris Bryant home -> home [out]
[PLAY] Groundout [BATTER] CJ Abrams [PITCHER] Andrew Chafin [FIELDERS] Nico Hoerner [MOVEMENTS] CJ Abrams home -> home [out]
[PLAY] Strikeout [BATTER] Ivan Castillo [PITCHER] Andrew Chafin [MOVEMENTS] Ivan Castillo home -> home [out]
[PLAY] Double [BATTER] Tommy Pham [PITCHER] Andrew Chafin [MOVEMENTS] Tommy Pham home -> 2
[PLAY] Groundout [BATTER] Jake Cronenworth [PITCHER] Andrew Chafin [FIELDERS] Anthony Rizzo [MOVEMENTS] Jake Cronenworth home -> home [out]
[PLAY] Double [BATTER] Joc Pederson [PITCHER] Keone Kela [MOVEMENTS] Joc Pederson home -> 2
[PLAY] Strikeout [BATTER] Javier Báez [PITCHER] Keone Kela [MOVEMENTS] Javier Báez home -> home [out]
[PLAY] Groundout [BATTER] Jason Heyward [PITCHER] Keone Kela [FIELDERS] Jake Cronenworth [MOVEMENTS] Jason Heyward home -> home [out], Joc Pederson 2 -> 3
[PLAY] Flyout [BATTER] Nico Hoerner [PITCHER] Keone Kela [FIELDERS] Wil Myers [MOVEMENTS] Nico Hoerner home -> home [out]
[PLAY] Strikeout [BATTER] Manny Machado [PITCHER] Craig Kimbrel [MOVEMENTS] Manny Machado home -> home [out]
[PLAY] Single [BATTER] Wil Myers [PITCHER] Craig Kimbrel [MOVEMENTS] Wil Myers home -> 1
[PLAY] Grounded Into Double Play [BATTER] Jurickson Profar [PITCHER] Craig Kimbrel [FIELDERS] Javier Báez, Nico Hoerner [MOVEMENTS] Brian O'Grady 1 -> home [out], Jurickson Profar home -> home [out]
[PLAY] Walk [BATTER] P.J. Higgins [PITCHER] Mason Thompson [MOVEMENTS] P.J. Higgins home -> 1
[PLAY] Single [BATTER] Ian Happ [PITCHER] Mason Thompson [MOVEMENTS] Ian Happ home -> 1, P.J. Higgins 1 -> 2
[PLAY] Triple [BATTER] Willson Contreras [PITCHER] Mason Thompson [MOVEMENTS] Willson Contreras home -> 3, P.J. Higgins 2 -> 4, Ian Happ 1 -> 4
[PLAY] Strikeout [BATTER] Anthony Rizzo [PITCHER] Mason Thompson [MOVEMENTS] Anthony Rizzo home -> home [out]
[PLAY] Hit By Pitch [BATTER] Kris Bryant [PITCHER] Mason Thompson [MOVEMENTS] Kris Bryant home -> 1
[PLAY] Sac Fly [BATTER] Joc Pederson [PITCHER] Mason Thompson [FIELDERS] Patrick Kivlehan [SCORING_RUNNER] Michael Hermosillo [MOVEMENTS] Joc Pederson home -> home [out], Michael Hermosillo 3 -> 4
[PLAY] Walk [BATTER] Javier Báez [PITCHER] Mason Thompson [MOVEMENTS] Christopher Morel 1 -> 2, Javier Báez home -> 1
[PLAY] Groundout [BATTER] Jason Heyward [PITCHER] Taylor Williams [FIELDERS] Jake Cronenworth [MOVEMENTS] Jason Heyward home -> home [out]
[PLAY] Field Error [BATTER] Luis Campusano [PITCHER] Dan Winkler [FIELDERS] Christopher Morel [MOVEMENTS] Luis Campusano home -> 1
[PLAY] Strikeout [BATTER] Ha-Seong Kim [PITCHER] Dan Winkler [MOVEMENTS] Ha-Seong Kim home -> home [out]
[PLAY] Single [BATTER] CJ Abrams [PITCHER] Dan Winkler [MOVEMENTS] CJ Abrams home -> 1, Luis Campusano 1 -> 2
[PLAY] Sac Bunt [BATTER] Taylor Williams [PITCHER] Dan Winkler [FIELDERS] Christopher Morel [RUNNER] Luis Campusano [MOVEMENTS] Taylor Williams home -> home [out], Luis Campusano 2 -> 3, CJ Abrams 1 -> 2
[PLAY] Strikeout [BATTER] Patrick Kivlehan [PITCHER] Dan Winkler [MOVEMENTS] Patrick Kivlehan home -> home [out]
[PLAY] Groundout [BATTER] Nico Hoerner [PITCHER] Taylor Williams [FIELDERS] Tucupita Marcano [MOVEMENTS] Nico Hoerner home -> home [out]
[PLAY] Walk [BATTER] Rafael Ortega [PITCHER] Parker Markel [MOVEMENTS] Rafael Ortega home -> 1
[PLAY] Groundout [BATTER] Nick Martini [PITCHER] Parker Markel [FIELDERS] Tucupita Marcano [MOVEMENTS] Rafael Ortega 1 -> 2, Nick Martini home -> home [out], Rafael Ortega 2 -> 3
[PLAY] Strikeout [BATTER] Michael Hermosillo [PITCHER] Parker Markel [MOVEMENTS] Michael Hermosillo home -> home [out]
[PLAY] Strikeout [BATTER] Webster Rivas [PITCHER] Jonathan Holder [MOVEMENTS] Webster Rivas home -> home [out]
[PLAY] Pop Out [BATTER] Eguy Rosario [PITCHER] Jonathan Holder [FIELDERS] Patrick Wisdom [MOVEMENTS] Eguy Rosario home -> home [out]
[PLAY] Groundout [BATTER] Brian O'Grady [PITCHER] Jonathan Holder [FIELDERS] Christopher Morel [MOVEMENTS] Brian O'Grady home -> home [out]
[PLAY] Strikeout [BATTER] Patrick Wisdom [PITCHER] Parker Markel [MOVEMENTS] Patrick Wisdom home -> home [out]
[PLAY] Walk [BATTER] Christopher Morel [PITCHER] Parker Markel [MOVEMENTS] Christopher Morel home -> 1
[PLAY] Strikeout [BATTER] Jose Lobaton [PITCHER] Parker Markel [MOVEMENTS] Jose Lobaton home -> home [out]
[PLAY] Strikeout [BATTER] Andy Weber [PITCHER] Parker Markel [MOVEMENTS] Andy Weber home -> home [out]
[PLAY] Lineout [BATTER] Jorge Mateo [PITCHER] Joe Biagini [FIELDERS] Nick Martini [MOVEMENTS] Jorge Mateo home -> home [out]
[PLAY] Strikeout [BATTER] Luis Campusano [PITCHER] Joe Biagini [MOVEMENTS] Luis Campusano home -> home [out]
[PLAY] Groundout [BATTER] Tucupita Marcano [PITCHER] Joe Biagini [FIELDERS] Patrick Wisdom [MOVEMENTS] Tucupita Marcano home -> home [out]
[GAME_END]
