[GAME] 642073 [DATE] 2021-03-14 [VENUE] Comerica Park [WEATHER] Sunny 78 7

[TEAM] 116
[FIRST_BASE] Miguel Cabrera
[CATCHER] Wilson Ramos
[PITCHER] Derek Holland
[PITCHER] Wily Peralta
[PITCHER] Julio Teheran
[PITCHER] Erasmo Ramírez
[PITCHER] José Cisnero
[RIGHT_FIELD] Robbie Grossman
[PITCHER] Robbie Ross Jr.
[PITCHER] José Ureña
[DESIGNATED_HITTER] Jonathan Schoop
[PITCHER] Matthew Boyd
[PITCHER] Buck Farmer
[PITCHER] Drew Hutchison
[PITCHER] Ian Krol
[DESIGNATED_HITTER] Dustin Garneau
[FIRST_BASE] Aderlin Rodríguez
[SHORTSTOP] Niko Goodrum
[LEFT_FIELD] JaCoby Jones
[SECOND_BASE] Greg Garcia
[PITCHER] Daniel Norris
[FIRST_BASE] Renato Núñez
[THIRD_BASE] Jeimer Candelario
[PITCHER] Miguel Del Pozo
[PITCHER] Michael Fulmer
[PITCHER] Spencer Turnbull
[THIRD_BASE] Harold Castro
[CATCHER] Grayson Greiner
[CATCHER] Eric Haase
[RIGHT_FIELD] Nomar Mazara
[THIRD_BASE] Daniel Pinero
[LEFT_FIELD] Jacob Robson
[PITCHER] Andrew Moore
[LEFT_FIELD] Christin Stewart
[CENTER_FIELD] Victor Reyes
[PITCHER] Logan Shore
[PITCHER] Tyler Alexander
[PITCHER] Joe Jiménez
[PITCHER] Gregory Soto
[PITCHER] Gerson Moreno
[SECOND_BASE] Willi Castro
[PITCHER] Bryan Garcia
[PITCHER] Drew Carlton
[CENTER_FIELD] Derek Hill
[PITCHER] Alex Lange
[PITCHER] Franklin Pérez
[PITCHER] Wladimir Pinto
[PITCHER] Casey Mize
[CENTER_FIELD] Daz Cameron
[PITCHER] Ben Taylor
[SECOND_BASE] Kody Clemens
[PITCHER] Rony García
[PITCHER] Zack Hess
[PITCHER] Matt Manning
[SHORTSTOP] Nick Quintana
[CATCHER] Cooper Johnson
[CATCHER] Jake Rogers
[CENTER_FIELD] Akil Baddoo
[THIRD_BASE] Ryan Kreidler
[PITCHER] Tarik Skubal
[SHORTSTOP] Zack Short
[OUTFIELD] Danny Woodrow
[CATCHER] Brady Policelli
[PITCHER] Nolan Blackwood
[THIRD_BASE] Isaac Paredes
[PITCHER] Jason Foley
[CENTER_FIELD] Parker Meadows
[FIRST_BASE] Spencer Torkelson
[PITCHER] Ethan DeCaster
[RIGHT_FIELD] Riley Greene
[CATCHER] Dillon Dingler

[TEAM] 110
[PITCHER] Félix Hernández
[FIRST_BASE] Chris Davis
[PITCHER] Wade LeBlanc
[PITCHER] Fernando Abad
[PITCHER] César Valdez
[PITCHER] Matt Harvey
[SHORTSTOP] Freddy Galvis
[PITCHER] Shawn Armstrong
[CATCHER] Taylor Davis
[SECOND_BASE] Rio Ruiz
[SECOND_BASE] Yolmer Sánchez
[PITCHER] Konner Wade
[FIRST_BASE] Stevie Wilkerson
[PITCHER] Mickey Jannis
[CATCHER] Pedro Severino
[THIRD_BASE] Ramón Urías
[PITCHER] Jorge López
[PITCHER] Cody Carroll
[PITCHER] John Means
[SHORTSTOP] Richie Martin
[PITCHER] Eric Hanhold
[RIGHT_FIELD] DJ Stewart
[LEFT_FIELD] Chris Shaw
[PITCHER] Dillon Tate
[FIRST_BASE] Seth Mejias-Brean
[FIRST_BASE] Ryan Ripken
[PITCHER] Evan Phillips
[PITCHER] Ashton Goudeau
[RIGHT_FIELD] Anthony Santander
[CATCHER] Nick Ciuffo
[PITCHER] Hunter Harvey
[PITCHER] Conner Greene
[FIRST_BASE] Trey Mancini
[PITCHER] Josh Rogers
[CATCHER] Chance Sisco
[PITCHER] Cole Sulser
[SHORTSTOP] Pat Valaika
[CATCHER] Austin Wynns
[PITCHER] Paul Fry
[PITCHER] Dusten Knight
[SHORTSTOP] Adam Hall
[PITCHER] Marcos Diplán
[CATCHER] Brett Cumberland
[CENTER_FIELD] Cedric Mullins
[PITCHER] Tanner Scott
[PITCHER] Spenser Watkins
[SECOND_BASE] Jahmai Jones
[PITCHER] Gray Fenter
[RIGHT_FIELD] Tyler Nevin
[LEFT_FIELD] Ryan Mountcastle
[CENTER_FIELD] Ryan McKenna
[PITCHER] Travis Lakins Sr.
[PITCHER] Thomas Eshelman
[PITCHER] Jay Flaa
[PITCHER] Dean Kremer
[RIGHT_FIELD] Yusniel Díaz
[DESIGNATED_HITTER] Adley Rutschman
[CATCHER] Maverick Handley
[PITCHER] Zach Muckenhirn
[PITCHER] Mac Sceroler
[PITCHER] Bruce Zimmermann
[SHORTSTOP] Mason McCoy
[PITCHER] Keegan Akin
[PITCHER] Tyler Wells
[RIGHT_FIELD] Austin Hays
[SHORTSTOP] Jordan Westburg
[THIRD_BASE] Rylan Bannon
[OUTFIELD] Heston Kjerstad
[SHORTSTOP] Terrin Vavra
[SHORTSTOP] Gunnar Henderson
[SHORTSTOP] Darell Hernaiz

[GAME_START]
[PLAY] Flyout [BATTER] Yolmer Sánchez [PITCHER] Spencer Turnbull [FIELDERS] Victor Reyes [MOVEMENTS] Yolmer Sánchez home -> home [out]
[PLAY] Lineout [BATTER] Anthony Santander [PITCHER] Spencer Turnbull [FIELDERS] Robbie Grossman [MOVEMENTS] Anthony Santander home -> home [out]
[PLAY] Groundout [BATTER] Ryan Mountcastle [PITCHER] Spencer Turnbull [FIELDERS] Niko Goodrum [MOVEMENTS] Ryan Mountcastle home -> home [out]
[PLAY] Strikeout [BATTER] Robbie Grossman [PITCHER] Dean Kremer [MOVEMENTS] Robbie Grossman home -> home [out]
[PLAY] Flyout [BATTER] Jeimer Candelario [PITCHER] Dean Kremer [FIELDERS] Ryan McKenna [MOVEMENTS] Jeimer Candelario home -> home [out]
[PLAY] Single [BATTER] Miguel Cabrera [PITCHER] Dean Kremer [MOVEMENTS] Miguel Cabrera home -> 1
[PLAY] Walk [BATTER] Jonathan Schoop [PITCHER] Dean Kremer [MOVEMENTS] Miguel Cabrera 1 -> 2, Jonathan Schoop home -> 1
[PLAY] Flyout [BATTER] Niko Goodrum [PITCHER] Dean Kremer [FIELDERS] Ryan Mountcastle [MOVEMENTS] Niko Goodrum home -> home [out]
[PLAY] Lineout [BATTER] Pat Valaika [PITCHER] Spencer Turnbull [FIELDERS] Victor Reyes [MOVEMENTS] Pat Valaika home -> home [out]
[PLAY] Flyout [BATTER] Ramón Urías [PITCHER] Spencer Turnbull [FIELDERS] Robbie Grossman [MOVEMENTS] Ramón Urías home -> home [out]
[PLAY] Strikeout [BATTER] Stevie Wilkerson [PITCHER] Spencer Turnbull [MOVEMENTS] Stevie Wilkerson home -> home [out]
[PLAY] Single [BATTER] Wilson Ramos [PITCHER] Dean Kremer [MOVEMENTS] Wilson Ramos home -> 1
[PLAY] Single [BATTER] Victor Reyes [PITCHER] Dean Kremer [MOVEMENTS] Victor Reyes home -> 1, Wilson Ramos 1 -> 2
[PLAY] Forceout [BATTER] Greg Garcia [PITCHER] Dean Kremer [FIELDERS] Ramón Urías [MOVEMENTS] Victor Reyes 1 -> home [out], Wilson Ramos 2 -> 3, Greg Garcia home -> 1
[PLAY] Groundout [BATTER] JaCoby Jones [PITCHER] Dean Kremer [FIELDERS] Yolmer Sánchez [MOVEMENTS] JaCoby Jones home -> home [out], Wilson Ramos 3 -> 4, Greg Garcia 1 -> 2
[PLAY] Strikeout [BATTER] Robbie Grossman [PITCHER] Dean Kremer [MOVEMENTS] Robbie Grossman home -> home [out]
[PLAY] Strikeout [BATTER] Adley Rutschman [PITCHER] Spencer Turnbull [MOVEMENTS] Adley Rutschman home -> home [out]
[PLAY] Walk [BATTER] Ryan McKenna [PITCHER] Spencer Turnbull [MOVEMENTS] Ryan McKenna home -> 1
[PLAY] Single [BATTER] Austin Wynns [PITCHER] Spencer Turnbull [MOVEMENTS] Ryan McKenna 1 -> 2, Austin Wynns home -> 1, Ryan McKenna 2 -> home [out]
[PLAY] Strikeout [BATTER] Yolmer Sánchez [PITCHER] Spencer Turnbull [MOVEMENTS] Austin Wynns 1 -> 2, Yolmer Sánchez home -> home [out]
[PLAY] Walk [BATTER] Jeimer Candelario [PITCHER] Dean Kremer [MOVEMENTS] Jeimer Candelario home -> 1
