[GAME] 641986 [DATE] 2021-03-06 [VENUE] PNC Park [WEATHER] Drizzle 63 7

[TEAM] 134
[FIRST_BASE] Todd Frazier
[PITCHER] Tyler Anderson
[CENTER_FIELD] Anthony Alford
[CATCHER] Tony Wolters
[RIGHT_FIELD] Gregory Polanco
[SHORTSTOP] Erik González
[LEFT_FIELD] Brian Goodwin
[CATCHER] Andrew Susac
[THIRD_BASE] Colin Moran
[PITCHER] Chasen Shreve
[PITCHER] Michael Feliz
[PITCHER] Richard Rodríguez
[PITCHER] Jandel Gustave
[SECOND_BASE] Wilmer Difo
[THIRD_BASE] Phillip Evans
[SECOND_BASE] Kevin Kramer
[PITCHER] Kyle Crick
[PITCHER] Clay Holmes
[CATCHER] Michael Pérez
[PITCHER] Sam Howard
[CATCHER] Jacob Stallings
[PITCHER] Chase De Jong
[PITCHER] Carson Fulmer
[PITCHER] Chris Stratton
[SHORTSTOP] Kevin Newman
[PITCHER] James Marvel
[CATCHER] Joe Hudson
[SECOND_BASE] Adam Frazier
[PITCHER] Wil Crowe
[PITCHER] Tyler Bashlor
[CATCHER] Jason Delay
[DESIGNATED_HITTER] Dustin Fowler
[PITCHER] Chad Kuhl
[CATCHER] Arden Pabst
[PITCHER] Steven Brault
[DESIGNATED_HITTER] Will Craig
[PITCHER] Edgar Santana
[PITCHER] Mitch Keller
[LEFT_FIELD] Troy Stokes Jr.
[SHORTSTOP] Cole Tucker
[PITCHER] Yerry De Los Santos
[THIRD_BASE] Ke'Bryan Hayes
[PITCHER] Cody Ponce
[PITCHER] Sean Poppen
[PITCHER] Geoff Hartlieb
[PITCHER] JT Brubaker
[PITCHER] Miguel Yajure
[CATCHER] Christian Kelley
[PITCHER] Blake Cederlind
[PITCHER] Shea Spitzbarth
[SHORTSTOP] Oneil Cruz
[PITCHER] Luis Oviedo
[SECOND_BASE] Rodolfo Castro
[CENTER_FIELD] Jared Oliva
[RIGHT_FIELD] Cal Mitchell
[LEFT_FIELD] Bryan Reynolds
[PITCHER] Max Kranick
[PITCHER] Braeden Ogle
[PITCHER] David Bednar
[THIRD_BASE] Hunter Owen
[PITCHER] Roansy Contreras
[LEFT_FIELD] Canaan Smith-Njigba
[PITCHER] Cody Bolton
[PITCHER] Blake Weiman
[FIRST_BASE] Mason Martin
[SECOND_BASE] Ji Hwan Bae
[FIRST_BASE] Shendrik Apostel
[SHORTSTOP] Liover Peguero
[CENTER_FIELD] Travis Swaggerty
[PITCHER] Luis L. Ortiz
[PITCHER] Quinn Priester
[PITCHER] Nick Mears
[PITCHER] Listher Sosa
[CENTER_FIELD] Jose Berroa
[PITCHER] Jack Hartman
[SHORTSTOP] Nick Gonzales

[TEAM] 147
[PITCHER] Corey Kluber
[CATCHER] Robinson Chirinos
[RIGHT_FIELD] Jay Bruce
[PITCHER] Justin Wilson
[LEFT_FIELD] Brett Gardner
[PITCHER] Jhoulys Chacín
[PITCHER] Luis García
[PITCHER] Adam Warren
[PITCHER] Lucas Luetge
[PITCHER] Zack Britton
[PITCHER] Darren O'Day
[LEFT_FIELD] Derek Dietrich
[SECOND_BASE] DJ LeMahieu
[LEFT_FIELD] Giancarlo Stanton
[OUTFIELD] Ryan LaMarre
[CATCHER] Rob Brantly
[PITCHER] Gerrit Cole
[CENTER_FIELD] Aaron Hicks
[CATCHER] Kyle Higashioka
[PITCHER] Tyler Lyons
[PITCHER] Aroldis Chapman
[THIRD_BASE] Gio Urshela
[PITCHER] Luis Cessa
[FIRST_BASE] Luke Voit
[PITCHER] Nick Goody
[CATCHER] Kellin Deglan
[RIGHT_FIELD] Aaron Judge
[PITCHER] Jameson Taillon
[PITCHER] Asher Wojciechowski
[PITCHER] Domingo Germán
[CENTER_FIELD] Sócrates Brito
[PITCHER] Reggie McClain
[CATCHER] Gary Sánchez
[PITCHER] Kyle Barraclough
[THIRD_BASE] Miguel Andujar
[PITCHER] Brooks Kriske
[THIRD_BASE] Andrew Velazquez
[DESIGNATED_HITTER] Clint Frazier
[PITCHER] Nestor Cortes
[LEFT_FIELD] Thomas Milone
[SECOND_BASE] Tyler Wade
[RIGHT_FIELD] Michael Beltre
[PITCHER] Jonathan Loáisiga
[SHORTSTOP] Thairo Estrada
[PITCHER] Chad Green
[CENTER_FIELD] Mike Tauchman
[FIRST_BASE] Mike Ford
[SHORTSTOP] Gleyber Torres
[PITCHER] Michael King
[PITCHER] Albert Abreu
[LEFT_FIELD] Greg Allen
[PITCHER] Keegan Curtis
[FIRST_BASE] Chris Gittens
[PITCHER] Jordan Montgomery
[PITCHER] Nick Nelson
[PITCHER] Glenn Otto
[PITCHER] Clarke Schmidt
[INFIELD] Diego A. Castillo
[SHORTSTOP] Hoy Park
[PITCHER] Luis Gil
[OUTFIELD] Josh Stowers
[LEFT_FIELD] Trey Amburgey
[CATCHER] Max McDowell
[CENTER_FIELD] Estevan Florial
[PITCHER] Deivi García
[PITCHER] Luis Medina
[PITCHER] Elvis Peguero
[THIRD_BASE] Armando Alvarez
[CATCHER] Austin Wells
[SECOND_BASE] Trevor Hauver
[SECOND_BASE] Josh Smith
[PITCHER] Alexander Vizcaíno
[PITCHER] Trevor Lane
[SHORTSTOP] Oswald Peraza
[PITCHER] Yoendrys Gómez
[PITCHER] T.J. Sikkema
[PITCHER] Janson Junk
[PITCHER] Addison Russ
[CATCHER] Josh Breaux
[SECOND_BASE] Ezequiel Duran
[CATCHER] Anthony Seigler
[CATCHER] Antonio Cabello
[OUTFIELD] Kevin Alcántara
[PITCHER] Beck Way

[GAME_START]
[PLAY] Groundout [BATTER] Mike Tauchman [PITCHER] Cody Ponce [FIELDERS] Kevin Kramer [MOVEMENTS] Mike Tauchman home -> home [out]
[PLAY] Groundout [BATTER] Gio Urshela [PITCHER] Cody Ponce [FIELDERS] Erik González [MOVEMENTS] Gio Urshela home -> home [out]
[PLAY] Home Run [BATTER] Jay Bruce [PITCHER] Cody Ponce [MOVEMENTS] Jay Bruce home -> 4
[PLAY] Walk [BATTER] Clint Frazier [PITCHER] Cody Ponce [MOVEMENTS] Clint Frazier home -> 1
[PLAY] Walk [BATTER] Derek Dietrich [PITCHER] Cody Ponce [MOVEMENTS] Clint Frazier 1 -> 2, Derek Dietrich home -> 1
[PLAY] Groundout [BATTER] Mike Ford [PITCHER] Cody Ponce [FIELDERS] Todd Frazier [MOVEMENTS] Mike Ford home -> home [out]
[PLAY] Strikeout [BATTER] Dustin Fowler [PITCHER] Jameson Taillon [MOVEMENTS] Dustin Fowler home -> home [out]
[PLAY] Strikeout [BATTER] Bryan Reynolds [PITCHER] Jameson Taillon [MOVEMENTS] Bryan Reynolds home -> home [out]
[PLAY] Lineout [BATTER] Colin Moran [PITCHER] Jameson Taillon [FIELDERS] Derek Dietrich [MOVEMENTS] Colin Moran home -> home [out]
[PLAY] Groundout [BATTER] Kyle Higashioka [PITCHER] Carson Fulmer [FIELDERS] Todd Frazier [MOVEMENTS] Kyle Higashioka home -> home [out]
[PLAY] Strikeout [BATTER] Tyler Wade [PITCHER] Carson Fulmer [MOVEMENTS] Tyler Wade home -> home [out]
[PLAY] Single [BATTER] Thairo Estrada [PITCHER] Carson Fulmer [MOVEMENTS] Thairo Estrada home -> 1
[PLAY] Caught Stealing [BASE] 2 [RUNNER] Thairo Estrada [FIELDERS] Michael Pérez [MOVEMENTS] Thairo Estrada 1 -> home [out]
[PLAY] Single [BATTER] Todd Frazier [PITCHER] Jameson Taillon [MOVEMENTS] Todd Frazier home -> 1
[PLAY] Single [BATTER] Gregory Polanco [PITCHER] Jameson Taillon [MOVEMENTS] Gregory Polanco home -> 1, Todd Frazier 1 -> 2
[PLAY] Pop Out [BATTER] Erik González [PITCHER] Jameson Taillon [FIELDERS] Mike Ford [MOVEMENTS] Erik González home -> home [out]
[PLAY] Strikeout [BATTER] Anthony Alford [PITCHER] Jameson Taillon [MOVEMENTS] Anthony Alford home -> home [out]
[PLAY] Walk [BATTER] Michael Pérez [PITCHER] Jameson Taillon [MOVEMENTS] Todd Frazier 2 -> 3, Gregory Polanco 1 -> 2, Michael Pérez home -> 1
[PLAY] Strikeout [BATTER] Kevin Kramer [PITCHER] Jameson Taillon [MOVEMENTS] Kevin Kramer home -> home [out]
[PLAY] Strikeout [BATTER] Mike Tauchman [PITCHER] Carson Fulmer [MOVEMENTS] Mike Tauchman home -> home [out]
[PLAY] Strikeout [BATTER] Gio Urshela [PITCHER] Carson Fulmer [MOVEMENTS] Gio Urshela home -> home [out]
[PLAY] Lineout [BATTER] Jay Bruce [PITCHER] Carson Fulmer [FIELDERS] Todd Frazier [MOVEMENTS] Jay Bruce home -> home [out]
[PLAY] Groundout [BATTER] Dustin Fowler [PITCHER] Jhoulys Chacín [FIELDERS] Mike Ford [MOVEMENTS] Dustin Fowler home -> home [out]
[PLAY] Single [BATTER] Bryan Reynolds [PITCHER] Jhoulys Chacín [MOVEMENTS] Bryan Reynolds home -> 1
[PLAY] Double [BATTER] Colin Moran [PITCHER] Jhoulys Chacín [MOVEMENTS] Colin Moran home -> 2, Bryan Reynolds 1 -> 3
[PLAY] Hit By Pitch [BATTER] Todd Frazier [PITCHER] Jhoulys Chacín [MOVEMENTS] Todd Frazier home -> 1
[PLAY] Single [BATTER] Gregory Polanco [PITCHER] Jhoulys Chacín [MOVEMENTS] Gregory Polanco home -> 1, Colin Moran 2 -> 3, Colin Moran 3 -> 4, Todd Frazier 1 -> 2, Todd Frazier 2 -> 3, Bryan Reynolds 3 -> 4
[PLAY] Strikeout [BATTER] Erik González [PITCHER] Jhoulys Chacín [MOVEMENTS] Gregory Polanco 1 -> 2, Erik González home -> home [out]
[PLAY] Groundout [BATTER] Anthony Alford [PITCHER] Jhoulys Chacín [FIELDERS] Thairo Estrada [MOVEMENTS] Anthony Alford home -> home [out]
[PLAY] Groundout [BATTER] Clint Frazier [PITCHER] Geoff Hartlieb [FIELDERS] Erik González [MOVEMENTS] Clint Frazier home -> home [out]
[PLAY] Flyout [BATTER] Derek Dietrich [PITCHER] Geoff Hartlieb [FIELDERS] Gregory Polanco [MOVEMENTS] Derek Dietrich home -> home [out]
[PLAY] Groundout [BATTER] Mike Ford [PITCHER] Geoff Hartlieb [FIELDERS] Erik González [MOVEMENTS] Mike Ford home -> home [out]
[PLAY] Groundout [BATTER] Michael Pérez [PITCHER] Trevor Lane [FIELDERS] Mike Ford [MOVEMENTS] Michael Pérez home -> home [out]
[PLAY] Strikeout [BATTER] Kevin Kramer [PITCHER] Trevor Lane [MOVEMENTS] Kevin Kramer home -> home [out]
[PLAY] Single [BATTER] Dustin Fowler [PITCHER] Trevor Lane [MOVEMENTS] Dustin Fowler home -> 1
[PLAY] Single [BATTER] Bryan Reynolds [PITCHER] Trevor Lane [MOVEMENTS] Bryan Reynolds home -> 1, Dustin Fowler 1 -> 2
[PLAY] Walk [BATTER] Colin Moran [PITCHER] Trevor Lane [MOVEMENTS] Dustin Fowler 2 -> 3, Canaan Smith-Njigba 1 -> 2, Colin Moran home -> 1
[PLAY] Pop Out [BATTER] Todd Frazier [PITCHER] Glenn Otto [FIELDERS] Thairo Estrada [MOVEMENTS] Todd Frazier home -> home [out]
[PLAY] Strikeout [BATTER] Kyle Higashioka [PITCHER] Nick Mears [MOVEMENTS] Kyle Higashioka home -> home [out]
[PLAY] Flyout [BATTER] Tyler Wade [PITCHER] Nick Mears [FIELDERS] Canaan Smith-Njigba [MOVEMENTS] Tyler Wade home -> home [out]
[PLAY] Single [BATTER] Thairo Estrada [PITCHER] Nick Mears [MOVEMENTS] Thairo Estrada home -> 1
[PLAY] Strikeout [BATTER] Mike Tauchman [PITCHER] Nick Mears [MOVEMENTS] Mike Tauchman home -> home [out]
[PLAY] Home Run [BATTER] Gregory Polanco [PITCHER] Luis Cessa [MOVEMENTS] Gregory Polanco home -> 4
[PLAY] Strikeout [BATTER] Erik González [PITCHER] Luis Cessa [MOVEMENTS] Erik González home -> home [out]
[PLAY] Strikeout [BATTER] Travis Swaggerty [PITCHER] Luis Cessa [MOVEMENTS] Travis Swaggerty home -> home [out]
[PLAY] Double [BATTER] Michael Pérez [PITCHER] Luis Cessa [MOVEMENTS] Michael Pérez home -> 2
[PLAY] Groundout [BATTER] Kevin Kramer [PITCHER] Luis Cessa [FIELDERS] Tyler Wade [MOVEMENTS] Kevin Kramer home -> home [out]
[PLAY] Strikeout [BATTER] Andrew Velazquez [PITCHER] Braeden Ogle [MOVEMENTS] Andrew Velazquez home -> home [out]
[PLAY] Strikeout [BATTER] Michael Beltre [PITCHER] Braeden Ogle [MOVEMENTS] Michael Beltre home -> home [out]
[PLAY] Home Run [BATTER] Clint Frazier [PITCHER] Braeden Ogle [MOVEMENTS] Clint Frazier home -> 4
[PLAY] Groundout [BATTER] Derek Dietrich [PITCHER] Braeden Ogle [FIELDERS] Mason Martin [MOVEMENTS] Derek Dietrich home -> home [out]
[PLAY] Flyout [BATTER] Will Craig [PITCHER] Adam Warren [FIELDERS] Michael Beltre [MOVEMENTS] Will Craig home -> home [out]
[PLAY] Groundout [BATTER] Canaan Smith-Njigba [PITCHER] Adam Warren [FIELDERS] Tyler Wade [MOVEMENTS] Canaan Smith-Njigba home -> home [out]
[PLAY] Groundout [BATTER] Oneil Cruz [PITCHER] Adam Warren [FIELDERS] Mike Ford [MOVEMENTS] Oneil Cruz home -> home [out]
[PLAY] Flyout [BATTER] Mike Ford [PITCHER] Shea Spitzbarth [FIELDERS] Travis Swaggerty [MOVEMENTS] Mike Ford home -> home [out]
[PLAY] Pop Out [BATTER] Kyle Higashioka [PITCHER] Shea Spitzbarth [FIELDERS] Mason Martin [MOVEMENTS] Kyle Higashioka home -> home [out]
[PLAY] Strikeout [BATTER] Tyler Wade [PITCHER] Shea Spitzbarth [MOVEMENTS] Tyler Wade home -> home [out]
[GAME_END]
