[GAME] 706978 [DATE] 2022-03-19 [VENUE] Coors Field [WEATHER] Partly Cloudy 80 5

[TEAM] 115
[PITCHER] Daniel Bard
[DESIGNATED_HITTER] Charlie Blackmon
[PITCHER] Jhoulys Chacín
[PITCHER] Alex Colomé
[DESIGNATED_HITTER] Carlos Pérez
[FIRST_BASE] C.J. Cron
[PITCHER] Zach Lee
[CATCHER] Elias Díaz
[SHORTSTOP] Jose Iglesias
[OUTFIELD] Wynton Bernard
[LEFT_FIELD] Kris Bryant
[PITCHER] Dillon Overton
[FIRST_BASE] D.J. Peterson
[PITCHER] Zach Neal
[DESIGNATED_HITTER] Scott Schebler
[PITCHER] Heath Holder
[PITCHER] Robert Stephenson
[PITCHER] Austin Gomber
[CENTER_FIELD] Yonathan Daza
[LEFT_FIELD] Raimel Tapia
[PITCHER] Kyle Freeland
[PITCHER] Carlos Estévez
[PITCHER] Germán Márquez
[RIGHT_FIELD] Tim Lopes
[PITCHER] Ty Blach
[PITCHER] Antonio Senzatela
[PITCHER] Ashton Goudeau
[CATCHER] Dom Nuñez
[CENTER_FIELD] Bret Boswell
[PITCHER] Ben Bowden
[PITCHER] Frank Duncan
[PITCHER] Brandon Gold
[SHORTSTOP] Garrett Hampson
[PITCHER] Tyler Kinley
[PITCHER] Chad Kuhl
[THIRD_BASE] Ryan McMahon
[PITCHER] Jordan Sheffield
[PITCHER] Julian Fernández
[SHORTSTOP] Taylor Snyder
[PITCHER] Jake Bird
[FIRST_BASE] Sean Bouchard
[PITCHER] Lucas Gilbreath
[CENTER_FIELD] Sam Hilliard
[FIRST_BASE] Connor Joe
[PITCHER] Reagan Todd
[PITCHER] Will Gaddis
[FIRST_BASE] Elehuris Montero
[CATCHER] Brian Serven
[PITCHER] Ryan Feltner
[PITCHER] Chad Smith
[PITCHER] Noah Davis
[PITCHER] Peter Lambert
[SECOND_BASE] Coco Montes
[PITCHER] Nick Kennedy
[SECOND_BASE] Kyle Holder
[PITCHER] Nate Griep
[PITCHER] Justin Lawrence
[PITCHER] Logan Cozart
[THIRD_BASE] Colton Welker
[LEFT_FIELD] Ryan Vilade
[PITCHER] Matt Dennis
[THIRD_BASE] Aaron Schunk
[PITCHER] Gavin Hollowell
[PITCHER] Ryan Rolison
[PITCHER] Mitchell Kilkenny
[FIRST_BASE] Michael Toglia
[CENTER_FIELD] Matt Hearn
[PITCHER] JD Hammer
[PITCHER] Helcris Olivarez
[PITCHER] Will Tribucher
[CATCHER] AJ Lewis
[PITCHER] Garrett Schilling
[PITCHER] Michael Baird
[PITCHER] PJ Poulin
[SECOND_BASE] Alan Trejo
[SHORTSTOP] Ezequiel Tovar
[LEFT_FIELD] Jameson Hannah
[FIRST_BASE] Grant Lavigne
[CATCHER] Willie MacIver
[SHORTSTOP] Juan Brito
[SHORTSTOP] Nic Kent
[OUTFIELD] Braiden Ward
[SECOND_BASE] Isaac Collins
[RIGHT_FIELD] Brenton Doyle
[PITCHER] Fineas Del Bonta-Smith
[CATCHER] Drew Romo
[INFIELD] Adrian Pinto
[OUTFIELD] Zac Veen
[PITCHER] Dugan Darnell

[TEAM] 137
[THIRD_BASE] Evan Longoria
[PITCHER] Jake McGee
[FIRST_BASE] Brandon Belt
[PITCHER] Jose Alvarez
[PITCHER] Alex Cobb
[FIRST_BASE] Wilmer Flores
[SHORTSTOP] Brandon Crawford
[PITCHER] Anthony DeSclafani
[PITCHER] Peter Tago
[PITCHER] Matt Carasiti
[LEFT_FIELD] Darin Ruf
[RIGHT_FIELD] Mike Yastrzemski
[CATCHER] Curt Casali
[OUTFIELD] Joc Pederson
[PITCHER] Taylor Williams
[PITCHER] Carlos Martinez
[PITCHER] Tyler Beede
[PITCHER] Bryan Brickhouse
[PITCHER] Jakob Junis
[RIGHT_FIELD] Austin Slater
[SECOND_BASE] Tommy La Stella
[PITCHER] John Brebbia
[PITCHER] Jarlín García
[PITCHER] Cody Carroll
[PITCHER] Carlos Rodón
[SECOND_BASE] Jason Krizan
[THIRD_BASE] Alex Blandino
[PITCHER] Dominic Leone
[THIRD_BASE] Jason Vosler
[PITCHER] Corey Oswalt
[CENTER_FIELD] Steven Duggar
[FIRST_BASE] Wyatt Mathisen
[DESIGNATED_HITTER] Austin Dean
[PITCHER] Alex Wood
[PITCHER] Yunior Marte
[CATCHER] Jhonny Pereda
[PITCHER] Zack Littell
[PITCHER] Raynel Espinal
[SHORTSTOP] Thairo Estrada
[SHORTSTOP] Mauricio Dubón
[PITCHER] Joe Palumbo
[PITCHER] Tyler Rogers
[PITCHER] Enmanuel De Jesus
[PITCHER] Luis F. Ortiz
[PITCHER] Tyler Schimpf
[PITCHER] Logan Webb
[INFIELD] Will Toffey
[PITCHER] Wei-Chieh Huang
[PITCHER] Norwith Gudiño
[SECOND_BASE] Arquímedes Gamboa
[PITCHER] Mauricio Llovera
[PITCHER] Gray Fenter
[PITCHER] Sean Hjelle
[PITCHER] Solomon Bates
[PITCHER] Clay Helvey
[CATCHER] Joey Bart
[RIGHT_FIELD] Jaylin Davis
[LEFT_FIELD] LaMonte Wade Jr.
[LEFT_FIELD] Ka'ai Tom
[PITCHER] Kervin Castro
[CATCHER] Ricardo Genovés
[OUTFIELD] Diego Rincones
[THIRD_BASE] Tyler Fitzgerald
[OUTFIELD] Hunter Bishop
[PITCHER] Gregory Santos
[PITCHER] Camilo Doval
[PITCHER] Jeremy Walker
[PITCHER] Patrick Ruotolo
[OUTFIELD] Bryce Johnson
[PITCHER] Sam Long
[RIGHT_FIELD] Armani Smith
[SHORTSTOP] Will Wilson
[RIGHT_FIELD] Luis González
[CENTER_FIELD] Heliot Ramos
[DESIGNATED_HITTER] Patrick Bailey
[PITCHER] Luis Moreno
[INFIELD] Ghordy Santos
[PITCHER] Prelander Berroa
[PITCHER] Michael Plassmeyer
[PITCHER] Frank Rubio
[PITCHER] Sam Delaplane
[PITCHER] Randy Rodríguez
[FIRST_BASE] Luis Toribio
[INFIELD] David Villar
[SECOND_BASE] Brett Auerbach
[INFIELD] Marco Luciano
[CENTER_FIELD] Luis Matos
[PITCHER] Chris Wright
[PITCHER] Nick Avila
[LEFT_FIELD] Grant McCray
[PINCH_HITTER] Simon Whiteman
[INFIELD] Jimmy Glowenke

[GAME_START]
[PLAY] Double [BATTER] LaMonte Wade Jr. [PITCHER] Frank Duncan [MOVEMENTS] LaMonte Wade Jr. home -> 2, LaMonte Wade Jr. 2 -> 3
[PLAY] Groundout [BATTER] Thairo Estrada [PITCHER] Frank Duncan [FIELDERS] Ryan McMahon [MOVEMENTS] Thairo Estrada home -> home [out], LaMonte Wade Jr. 3 -> 4
[PLAY] Groundout [BATTER] Austin Slater [PITCHER] Frank Duncan [FIELDERS] Garrett Hampson [MOVEMENTS] Austin Slater home -> home [out]
[PLAY] Flyout [BATTER] Steven Duggar [PITCHER] Frank Duncan [FIELDERS] Sam Hilliard [MOVEMENTS] Steven Duggar home -> home [out]
[PLAY] Home Run [BATTER] Garrett Hampson [PITCHER] Tyler Beede [MOVEMENTS] Garrett Hampson home -> 4
[PLAY] Single [BATTER] Connor Joe [PITCHER] Tyler Beede [MOVEMENTS] Connor Joe home -> 1
[PLAY] Groundout [BATTER] Ryan McMahon [PITCHER] Tyler Beede [FIELDERS] Wyatt Mathisen [MOVEMENTS] Connor Joe 1 -> 2, Ryan McMahon home -> home [out], Connor Joe 2 -> 3
[PLAY] Strikeout [BATTER] Sam Hilliard [PITCHER] Tyler Beede [MOVEMENTS] Sam Hilliard home -> home [out]
[PLAY] Single [BATTER] Carlos Pérez [PITCHER] Tyler Beede [MOVEMENTS] Carlos Pérez home -> 1, Connor Joe 3 -> 4
[PLAY] Flyout [BATTER] Dom Nuñez [PITCHER] Tyler Beede [FIELDERS] Steven Duggar [MOVEMENTS] Dom Nuñez home -> home [out]
[PLAY] Single [BATTER] Curt Casali [PITCHER] Frank Duncan [MOVEMENTS] Curt Casali home -> 1
[PLAY] Single [BATTER] Alex Blandino [PITCHER] Frank Duncan [MOVEMENTS] Alex Blandino home -> 1, Curt Casali 1 -> 2
[PLAY] Flyout [BATTER] Austin Dean [PITCHER] Frank Duncan [FIELDERS] Ryan Vilade [MOVEMENTS] Austin Dean home -> home [out]
[PLAY] Home Run [BATTER] Wyatt Mathisen [PITCHER] Frank Duncan [MOVEMENTS] Wyatt Mathisen home -> 4, Curt Casali 2 -> 4, Alex Blandino 1 -> 4
[PLAY] Flyout [BATTER] Arquímedes Gamboa [PITCHER] Frank Duncan [FIELDERS] Alan Trejo [MOVEMENTS] Arquímedes Gamboa home -> home [out]
[PLAY] Home Run [BATTER] LaMonte Wade Jr. [PITCHER] Frank Duncan [MOVEMENTS] LaMonte Wade Jr. home -> 4
[PLAY] Hit By Pitch [BATTER] Thairo Estrada [PITCHER] Frank Duncan [MOVEMENTS] Thairo Estrada home -> 1
[PLAY] Lineout [BATTER] Austin Slater [PITCHER] Frank Duncan [FIELDERS] Tim Lopes [MOVEMENTS] Austin Slater home -> home [out]
[PLAY] Single [BATTER] Alan Trejo [PITCHER] Tyler Beede [MOVEMENTS] Alan Trejo home -> 1
[PLAY] Flyout [BATTER] Tim Lopes [PITCHER] Tyler Beede [FIELDERS] Armani Smith [MOVEMENTS] Tim Lopes home -> home [out]
[PLAY] Single [BATTER] Ryan Vilade [PITCHER] Tyler Beede [MOVEMENTS] Ryan Vilade home -> 1, Alan Trejo 1 -> 2, Alan Trejo 2 -> home [out]
[PLAY] Forceout [BATTER] Garrett Hampson [PITCHER] Tyler Beede [FIELDERS] Will Wilson [MOVEMENTS] Ryan Vilade 1 -> home [out], Garrett Hampson home -> 1
[PLAY] Home Run [BATTER] Steven Duggar [PITCHER] Matt Dennis [MOVEMENTS] Steven Duggar home -> 4
[PLAY] Groundout [BATTER] Simon Whiteman [PITCHER] Matt Dennis [FIELDERS] Matt Dennis [MOVEMENTS] Simon Whiteman home -> home [out]
[PLAY] Single [BATTER] Alex Blandino [PITCHER] Matt Dennis [MOVEMENTS] Alex Blandino home -> 1
[PLAY] Grounded Into Double Play [BATTER] Austin Dean [PITCHER] Matt Dennis [FIELDERS] Alan Trejo, Alan Trejo [MOVEMENTS] Alex Blandino 1 -> home [out], Austin Dean home -> home [out]
[PLAY] Flyout [BATTER] Connor Joe [PITCHER] Enmanuel De Jesus [FIELDERS] Armani Smith [MOVEMENTS] Connor Joe home -> home [out]
[PLAY] Groundout [BATTER] Ryan McMahon [PITCHER] Enmanuel De Jesus [FIELDERS] Wyatt Mathisen [MOVEMENTS] Ryan McMahon home -> home [out]
[PLAY] Walk [BATTER] Sam Hilliard [PITCHER] Enmanuel De Jesus [MOVEMENTS] Sam Hilliard home -> 1
[PLAY] Groundout [BATTER] Carlos Pérez [PITCHER] Enmanuel De Jesus [FIELDERS] Tyler Fitzgerald [MOVEMENTS] Sam Hilliard 1 -> 2, Carlos Pérez home -> home [out]
[PLAY] Double [BATTER] Wyatt Mathisen [PITCHER] Matt Dennis [MOVEMENTS] Wyatt Mathisen home -> 2
[PLAY] Strikeout [BATTER] Arquímedes Gamboa [PITCHER] Matt Dennis [MOVEMENTS] Arquímedes Gamboa home -> home [out]
[PLAY] Strikeout [BATTER] Grant McCray [PITCHER] Matt Dennis [MOVEMENTS] Grant McCray home -> home [out]
[PLAY] Groundout [BATTER] Will Wilson [PITCHER] Matt Dennis [FIELDERS] Garrett Hampson [MOVEMENTS] Will Wilson home -> home [out]
[PLAY] Single [BATTER] Dom Nuñez [PITCHER] Enmanuel De Jesus [MOVEMENTS] Dom Nuñez home -> 1
[PLAY] Strikeout [BATTER] Alan Trejo [PITCHER] Enmanuel De Jesus [MOVEMENTS] Alan Trejo home -> home [out]
[PLAY] Grounded Into Double Play [BATTER] Tim Lopes [PITCHER] Enmanuel De Jesus [FIELDERS] Will Wilson, Brett Auerbach [MOVEMENTS] Dom Nuñez 1 -> home [out], Tim Lopes home -> home [out]
[PLAY] Strikeout [BATTER] Armani Smith [PITCHER] Gavin Hollowell [MOVEMENTS] Armani Smith home -> home [out]
[PLAY] Lineout [BATTER] Luis Matos [PITCHER] Gavin Hollowell [FIELDERS] Brenton Doyle [MOVEMENTS] Luis Matos home -> home [out]
[PLAY] Home Run [BATTER] Ricardo Genovés [PITCHER] Gavin Hollowell [MOVEMENTS] Ricardo Genovés home -> 4
[PLAY] Pop Out [BATTER] Tyler Fitzgerald [PITCHER] Gavin Hollowell [FIELDERS] Elehuris Montero [MOVEMENTS] Tyler Fitzgerald home -> home [out]
[PLAY] Strikeout [BATTER] Ryan Vilade [PITCHER] Mauricio Llovera [MOVEMENTS] Ryan Vilade home -> home [out]
[PLAY] Pop Out [BATTER] Elehuris Montero [PITCHER] Mauricio Llovera [FIELDERS] Will Wilson [MOVEMENTS] Elehuris Montero home -> home [out]
[PLAY] Strikeout [BATTER] Bret Boswell [PITCHER] Mauricio Llovera [MOVEMENTS] Bret Boswell home -> home [out]
[PLAY] Groundout [BATTER] Patrick Bailey [PITCHER] Garrett Schilling [FIELDERS] Garrett Schilling [MOVEMENTS] Patrick Bailey home -> home [out]
[PLAY] Groundout [BATTER] Luis Toribio [PITCHER] Garrett Schilling [FIELDERS] Garrett Schilling [MOVEMENTS] Luis Toribio home -> home [out]
[PLAY] Lineout [BATTER] Brett Auerbach [PITCHER] Garrett Schilling [FIELDERS] Jameson Hannah [MOVEMENTS] Brett Auerbach home -> home [out]
[PLAY] Flyout [BATTER] Brenton Doyle [PITCHER] Mauricio Llovera [FIELDERS] Luis Matos [MOVEMENTS] Brenton Doyle home -> home [out]
[PLAY] Strikeout [BATTER] Aaron Schunk [PITCHER] Mauricio Llovera [MOVEMENTS] Aaron Schunk home -> home [out]
[PLAY] Hit By Pitch [BATTER] Scott Schebler [PITCHER] Mauricio Llovera [MOVEMENTS] Scott Schebler home -> 1
[PLAY] Flyout [BATTER] Brian Serven [PITCHER] Mauricio Llovera [FIELDERS] Armani Smith [MOVEMENTS] Brian Serven home -> home [out]
[PLAY] Strikeout [BATTER] Grant McCray [PITCHER] Garrett Schilling [MOVEMENTS] Grant McCray home -> home [out]
[PLAY] Pop Out [BATTER] Will Wilson [PITCHER] Garrett Schilling [FIELDERS] Elehuris Montero [MOVEMENTS] Will Wilson home -> home [out]
[PLAY] Single [BATTER] Armani Smith [PITCHER] Garrett Schilling [MOVEMENTS] Armani Smith home -> 1
[PLAY] Flyout [BATTER] Luis Matos [PITCHER] Garrett Schilling [FIELDERS] Bret Boswell [MOVEMENTS] Luis Matos home -> home [out]
[PLAY] Single [BATTER] Kyle Holder [PITCHER] Corey Oswalt [MOVEMENTS] Kyle Holder home -> 1
[PLAY] Single [BATTER] Ezequiel Tovar [PITCHER] Corey Oswalt [MOVEMENTS] Ezequiel Tovar home -> 1, Kyle Holder 1 -> 2
[PLAY] Walk [BATTER] Jameson Hannah [PITCHER] Corey Oswalt [MOVEMENTS] Kyle Holder 2 -> 3, Ezequiel Tovar 1 -> 2, Jameson Hannah home -> 1
[PLAY] Strikeout [BATTER] Elehuris Montero [PITCHER] Corey Oswalt [MOVEMENTS] Elehuris Montero home -> home [out]
[PLAY] Single [BATTER] Bret Boswell [PITCHER] Corey Oswalt [MOVEMENTS] Bret Boswell home -> 1, Kyle Holder 3 -> 4, Ezequiel Tovar 2 -> 3, Jameson Hannah 1 -> 2
[PLAY] Strikeout [BATTER] Brenton Doyle [PITCHER] Corey Oswalt [MOVEMENTS] Brenton Doyle home -> home [out]
[PLAY] Single [BATTER] Aaron Schunk [PITCHER] Corey Oswalt [MOVEMENTS] Aaron Schunk home -> 1, Jameson Hannah 2 -> 3, Jameson Hannah 3 -> 4, Ezequiel Tovar 3 -> 4, Bret Boswell 1 -> 2
[PLAY] Flyout [BATTER] Scott Schebler [PITCHER] Corey Oswalt [FIELDERS] Grant McCray [MOVEMENTS] Scott Schebler home -> home [out]
[PLAY] Groundout [BATTER] Ricardo Genovés [PITCHER] Reagan Todd [FIELDERS] Ezequiel Tovar [MOVEMENTS] Ricardo Genovés home -> home [out]
[PLAY] Walk [BATTER] Tyler Fitzgerald [PITCHER] Reagan Todd [MOVEMENTS] Tyler Fitzgerald home -> 1
[PLAY] Flyout [BATTER] Patrick Bailey [PITCHER] Reagan Todd [FIELDERS] Brenton Doyle [MOVEMENTS] Patrick Bailey home -> home [out]
[PLAY] Flyout [BATTER] Luis Toribio [PITCHER] Reagan Todd [FIELDERS] Jameson Hannah [MOVEMENTS] Luis Toribio home -> home [out]
[PLAY] Groundout [BATTER] Brian Serven [PITCHER] Corey Oswalt [FIELDERS] Tyler Fitzgerald [MOVEMENTS] Brian Serven home -> home [out]
[PLAY] Groundout [BATTER] Kyle Holder [PITCHER] Corey Oswalt [FIELDERS] Brett Auerbach [MOVEMENTS] Kyle Holder home -> home [out]
[PLAY] Flyout [BATTER] Ezequiel Tovar [PITCHER] Chris Wright [FIELDERS] Armani Smith [MOVEMENTS] Ezequiel Tovar home -> home [out]
[PLAY] Triple [BATTER] Brett Auerbach [PITCHER] PJ Poulin [MOVEMENTS] Brett Auerbach home -> 3
[PLAY] Strikeout [BATTER] Grant McCray [PITCHER] PJ Poulin [MOVEMENTS] Brett Auerbach 3 -> 4, Grant McCray home -> home [out]
[PLAY] Strikeout [BATTER] Will Wilson [PITCHER] PJ Poulin [MOVEMENTS] Will Wilson home -> home [out]
[PLAY] Groundout [BATTER] Armani Smith [PITCHER] PJ Poulin [FIELDERS] Aaron Schunk [MOVEMENTS] Armani Smith home -> home [out]
