[GAME] 707034 [DATE] 2022-04-03 [VENUE] Truist Park [WEATHER] Cloudy 75 6

[TEAM] 144
[CATCHER] Manny Piña
[PITCHER] Kenley Jansen
[PITCHER] Charlie Morton
[PITCHER] Darren O'Day
[CATCHER] Travis d'Arnaud
[PITCHER] Will Smith
[LEFT_FIELD] Marcell Ozuna
[PITCHER] Brad Brach
[RIGHT_FIELD] Alex Dickerson
[PITCHER] Collin McHugh
[PITCHER] Michael Tonkin
[PITCHER] Nick Vincent
[PITCHER] Tyler Matzek
[SECOND_BASE] Ryan Goins
[PITCHER] Brandon Brennan
[LEFT_FIELD] Eddie Rosario
[PITCHER] Tyler Thornburg
[CENTER_FIELD] Adam Duvall
[SECOND_BASE] Phil Gosselin
[PITCHER] R.J. Alaniz
[FIRST_BASE] John Nogowski
[SECOND_BASE] Orlando Arcia
[PITCHER] Max Fried
[SHORTSTOP] Dansby Swanson
[PITCHER] Tyler Ferguson
[PITCHER] A.J. Minter
[FIRST_BASE] Matt Olson
[PITCHER] Jackson Stephens
[DESIGNATED_HITTER] Guillermo Heredia
[PITCHER] Thomas Burrows
[PITCHER] Connor Johnstone
[CATCHER] Arden Pabst
[SECOND_BASE] Pat Valaika
[PITCHER] Allan Winans
[SECOND_BASE] Jordan Cowan
[PITCHER] A.J. Puckett
[CATCHER] Hendrik Clementina
[PITCHER] Tucker Davidson
[FIRST_BASE] Drew Lugbauer
[PITCHER] Sean Newcomb
[PITCHER] Kyle Wright
[PITCHER] Odalvi Javier
[PITCHER] Huascar Ynoa
[RIGHT_FIELD] Ronald Acuña Jr.
[CATCHER] William Contreras
[PITCHER] Justin Maese
[THIRD_BASE] Austin Riley
[SECOND_BASE] Jalen Miller
[PITCHER] Troy Bacon
[PITCHER] Nolan Kingham
[PITCHER] Jake Higginbotham
[PITCHER] Jasseel De La Cruz
[PITCHER] Ian Anderson
[PITCHER] Indigo Diaz
[PITCHER] Coleman Huntley III
[PITCHER] Brandon White
[RIGHT_FIELD] Jacob Pearson
[SHORTSTOP] Braden Shewmake
[PITCHER] Brandyn Sittinger
[PITCHER] Darius Vines
[SECOND_BASE] Yariel Gonzalez
[OUTFIELD] Jefrey Ramos
[CENTER_FIELD] Michael Harris II
[RIGHT_FIELD] Trey Harris
[PITCHER] Spencer Strider
[LEFT_FIELD] Jesse Franklin V
[PITCHER] Seth Elledge
[FIRST_BASE] Greyson Jenista
[PINCH_HITTER] Luke Waddell
[PITCHER] Victor Vodnik
[THIRD_BASE] CJ Alexander
[OUTFIELD] Andrew Moritz
[PITCHER] Trey Riley
[OUTFIELD] Justin Dean
[CATCHER] Rusber Estrada
[CATCHER] Logan Brown
[SHORTSTOP] Beau Philip
[SECOND_BASE] Cade Bunnell
[RIGHT_FIELD] Drew Campbell
[PITCHER] Tyler Owens
[SHORTSTOP] Vaughn Grissom
[PITCHER] Justin Yeager
[CATCHER] Javier Valdes
[PITCHER] Dylan Spain
[OUTFIELD] Stephen Paolini
[PITCHER] Benjamin Dum
[PITCHER] Bryce Elder
[SHORTSTOP] Ambioris Tavarez
[PITCHER] Austin Smith
[PITCHER] Andrew Hoffmann
[PITCHER] Kris Anglin
[SHORTSTOP] Cal Conley
[CATCHER] Antonio Barranca
[PITCHER] AJ Smith-Shawver
[CATCHER] Adam Zebrowski
[PITCHER] Jake McSteen
[SHORTSTOP] Caleb Durbin

[TEAM] 111
[PITCHER] Rich Hill
[DESIGNATED_HITTER] J.D. Martinez
[PITCHER] Derek Holland
[PITCHER] Ryan Brasier
[PITCHER] Taylor Cole
[PITCHER] Jake Diekman
[PITCHER] Chris Sale
[PITCHER] Nathan Eovaldi
[FIRST_BASE] Travis Shaw
[CATCHER] Christian Vázquez
[PITCHER] Phillips Valdez
[SECOND_BASE] Yolmer Sánchez
[PITCHER] Hansel Robles
[CENTER_FIELD] Enrique Hernández
[PITCHER] Michael Feliz
[SHORTSTOP] Xander Bogaerts
[SECOND_BASE] Trevor Story
[PITCHER] Matt Barnes
[RIGHT_FIELD] Jackie Bradley Jr.
[PITCHER] Nick Pivetta
[PITCHER] Darin Gillies
[PITCHER] Michael Wacha
[CATCHER] Kevin Plawecki
[CENTER_FIELD] Rob Refsnyder
[PITCHER] Silvino Bracho
[RIGHT_FIELD] Franchy Cordero
[PITCHER] Hirokazu Sawamura
[CATCHER] Deivy Grullón
[PITCHER] Matt Strahm
[LEFT_FIELD] Christin Stewart
[PITCHER] Thomas Pannone
[SECOND_BASE] Christian Arroyo
[PITCHER] Tyler Danish
[PITCHER] Jake Thompson
[THIRD_BASE] Rafael Devers
[CATCHER] Roldani Baldwin
[PITCHER] Dan Altavilla
[PITCHER] Austin Davis
[PITCHER] Tanner Houck
[PITCHER] Josh Taylor
[LEFT_FIELD] Alex Verdugo
[FIRST_BASE] Roberto Ramos
[SHORTSTOP] Jonathan Araúz
[RIGHT_FIELD] Izzy Wilson
[PITCHER] Brian Keller
[CATCHER] Elih Marrero
[CATCHER] Kole Cottam
[PITCHER] Chase Shugart
[PITCHER] Geoff Hartlieb
[PITCHER] Durbin Feltman
[OUTFIELD] Pedro Castellanos
[PITCHER] Oddanier Mosqueda
[SHORTSTOP] David Hamilton
[THIRD_BASE] Bobby Dalbec
[PITCHER] Joan Martinez
[PITCHER] Cody Scroggins
[SECOND_BASE] Cam Cannon
[PITCHER] Chris Murphy
[PITCHER] John Schreiber
[LEFT_FIELD] Wil Dalton
[FIRST_BASE] Triston Casas
[PITCHER] Kaleb Ort
[PITCHER] Victor Santos
[RIGHT_FIELD] Tyler Dearden
[PITCHER] Brendan Cellucci
[PITCHER] Garrett Whitlock
[RIGHT_FIELD] Tyler Esplin
[FIRST_BASE] Tyreque Reed
[PITCHER] Kutter Crawford
[PITCHER] Zack Kelly
[SHORTSTOP] Antoni Flores
[OUTFIELD] Nick Decker
[THIRD_BASE] Nicholas Northcut
[PITCHER] Brendan Nail
[CENTER_FIELD] Gilberto Jimenez
[THIRD_BASE] Ceddanne Rafaela
[CATCHER] Oscar Rangel
[THIRD_BASE] Stephen Scott
[SHORTSTOP] Ryan Fitzgerald
[THIRD_BASE] Brandon Howlett
[SECOND_BASE] Grant Williams
[THIRD_BASE] Alex Binelas
[PITCHER] Frank German
[PITCHER] Andrew Politi
[PITCHER] Ryan Fernandez
[SECOND_BASE] Eddinson Paulino
[SHORTSTOP] Matthew Lugo
[SHORTSTOP] Christian Koss
[PITCHER] Jacob Wallace
[CATCHER] Jaxx Groshans
[SECOND_BASE] Nick Sogard
[PITCHER] Zach Bryant
[PITCHER] Robert Kwiatkowski
[OUTFIELD] Phillip Sikes
[PITCHER] Casey Cobb
[CATCHER] Alex Erro
[SHORTSTOP] Marcelo Mayer
[INFIELD] Nick Yorke
[SECOND_BASE] Tyler McDonough
[PITCHER] Jacob Webb

[GAME_START]
[PLAY] Groundout [BATTER] Enrique Hernández [PITCHER] Huascar Ynoa [FIELDERS] Dansby Swanson [MOVEMENTS] Enrique Hernández home -> home [out]
[PLAY] Groundout [BATTER] Rafael Devers [PITCHER] Huascar Ynoa [FIELDERS] Orlando Arcia [MOVEMENTS] Rafael Devers home -> home [out]
[PLAY] Single [BATTER] J.D. Martinez [PITCHER] Huascar Ynoa [MOVEMENTS] J.D. Martinez home -> 1
[PLAY] Groundout [BATTER] Alex Verdugo [PITCHER] Huascar Ynoa [FIELDERS] Orlando Arcia [MOVEMENTS] Alex Verdugo home -> home [out]
[PLAY] Strikeout [BATTER] Dansby Swanson [PITCHER] Nick Pivetta [MOVEMENTS] Dansby Swanson home -> home [out]
[PLAY] Home Run [BATTER] Matt Olson [PITCHER] Nick Pivetta [MOVEMENTS] Matt Olson home -> 4
[PLAY] Walk [BATTER] Austin Riley [PITCHER] Nick Pivetta [MOVEMENTS] Austin Riley home -> 1
[PLAY] Single [BATTER] Marcell Ozuna [PITCHER] Nick Pivetta [MOVEMENTS] Marcell Ozuna home -> 1, Marcell Ozuna 1 -> 2, Austin Riley 1 -> 2, Austin Riley 2 -> 3
[PLAY] Strikeout [BATTER] Adam Duvall [PITCHER] Nick Pivetta [MOVEMENTS] Adam Duvall home -> home [out]
[PLAY] Strikeout [BATTER] Alex Dickerson [PITCHER] Nick Pivetta [MOVEMENTS] Alex Dickerson home -> home [out]
[PLAY] Single [BATTER] Bobby Dalbec [PITCHER] Huascar Ynoa [MOVEMENTS] Bobby Dalbec home -> 1
[PLAY] Home Run [BATTER] Jackie Bradley Jr. [PITCHER] Huascar Ynoa [MOVEMENTS] Jackie Bradley Jr. home -> 4, Bobby Dalbec 1 -> 4
[PLAY] Groundout [BATTER] Christian Vázquez [PITCHER] Huascar Ynoa [FIELDERS] Austin Riley [MOVEMENTS] Christian Vázquez home -> home [out]
[PLAY] Groundout [BATTER] Jonathan Araúz [PITCHER] Huascar Ynoa [FIELDERS] Matt Olson [MOVEMENTS] Jonathan Araúz home -> home [out]
[PLAY] Double [BATTER] Yolmer Sánchez [PITCHER] Huascar Ynoa [MOVEMENTS] Yolmer Sánchez home -> 2
[PLAY] Field Error [BATTER] Enrique Hernández [PITCHER] Huascar Ynoa [FIELDERS] Orlando Arcia [MOVEMENTS] Enrique Hernández home -> 1, Yolmer Sánchez 2 -> 3
[PLAY] Home Run [BATTER] Rafael Devers [PITCHER] Huascar Ynoa [MOVEMENTS] Rafael Devers home -> 4, Enrique Hernández 1 -> 4, Yolmer Sánchez 3 -> 4
[PLAY] Strikeout [BATTER] J.D. Martinez [PITCHER] Huascar Ynoa [MOVEMENTS] J.D. Martinez home -> home [out]
[PLAY] Single [BATTER] Orlando Arcia [PITCHER] Nick Pivetta [MOVEMENTS] Orlando Arcia home -> 1, Orlando Arcia 1 -> home [out]
[PLAY] Flyout [BATTER] Manny Piña [PITCHER] Nick Pivetta [FIELDERS] Jackie Bradley Jr. [MOVEMENTS] Manny Piña home -> home [out]
[PLAY] Double [BATTER] Guillermo Heredia [PITCHER] Nick Pivetta [MOVEMENTS] Guillermo Heredia home -> 2
[PLAY] Strikeout [BATTER] Dansby Swanson [PITCHER] Nick Pivetta [MOVEMENTS] Dansby Swanson home -> home [out]
[PLAY] Groundout [BATTER] Alex Verdugo [PITCHER] Huascar Ynoa [FIELDERS] Orlando Arcia [MOVEMENTS] Alex Verdugo home -> home [out]
[PLAY] Strikeout [BATTER] Bobby Dalbec [PITCHER] Huascar Ynoa [MOVEMENTS] Bobby Dalbec home -> home [out]
[PLAY] Groundout [BATTER] Jackie Bradley Jr. [PITCHER] Huascar Ynoa [FIELDERS] Dansby Swanson [MOVEMENTS] Jackie Bradley Jr. home -> home [out]
[PLAY] Pop Out [BATTER] Matt Olson [PITCHER] Nick Pivetta [FIELDERS] Yolmer Sánchez [MOVEMENTS] Matt Olson home -> home [out]
[PLAY] Strikeout [BATTER] Austin Riley [PITCHER] Nick Pivetta [MOVEMENTS] Austin Riley home -> home [out]
[PLAY] Single [BATTER] Marcell Ozuna [PITCHER] Nick Pivetta [MOVEMENTS] Marcell Ozuna home -> 1
[PLAY] Lineout [BATTER] Adam Duvall [PITCHER] Nick Pivetta [FIELDERS] Rafael Devers [MOVEMENTS] Adam Duvall home -> home [out]
[PLAY] Groundout [BATTER] Christian Vázquez [PITCHER] Huascar Ynoa [FIELDERS] Austin Riley [MOVEMENTS] Christian Vázquez home -> home [out]
[PLAY] Strikeout [BATTER] Jonathan Araúz [PITCHER] Huascar Ynoa [MOVEMENTS] Jonathan Araúz home -> home [out]
[PLAY] Groundout [BATTER] Yolmer Sánchez [PITCHER] Huascar Ynoa [FIELDERS] Austin Riley [MOVEMENTS] Yolmer Sánchez home -> home [out]
[PLAY] Flyout [BATTER] Alex Dickerson [PITCHER] Nick Pivetta [FIELDERS] Enrique Hernández [MOVEMENTS] Alex Dickerson home -> home [out]
[PLAY] Groundout [BATTER] Orlando Arcia [PITCHER] Nick Pivetta [FIELDERS] Jonathan Araúz [MOVEMENTS] Orlando Arcia home -> home [out]
[PLAY] Lineout [BATTER] Manny Piña [PITCHER] Nick Pivetta [FIELDERS] Alex Verdugo [MOVEMENTS] Manny Piña home -> home [out]
[PLAY] Double [BATTER] Enrique Hernández [PITCHER] Huascar Ynoa [MOVEMENTS] Enrique Hernández home -> 2
[PLAY] Groundout [BATTER] Rafael Devers [PITCHER] Huascar Ynoa [FIELDERS] Dansby Swanson [MOVEMENTS] Rafael Devers home -> home [out]
[PLAY] Flyout [BATTER] J.D. Martinez [PITCHER] Huascar Ynoa [FIELDERS] Adam Duvall [MOVEMENTS] J.D. Martinez home -> home [out], Enrique Hernández 2 -> 3
[PLAY] Groundout [BATTER] Alex Verdugo [PITCHER] Kyle Wright [FIELDERS] Kyle Wright [MOVEMENTS] Alex Verdugo home -> home [out]
[PLAY] Hit By Pitch [BATTER] Guillermo Heredia [PITCHER] Nick Pivetta [MOVEMENTS] Guillermo Heredia home -> 1
[PLAY] Single [BATTER] Dansby Swanson [PITCHER] Nick Pivetta [MOVEMENTS] Dansby Swanson home -> 1, Guillermo Heredia 1 -> 2
[PLAY] Double Play [BATTER] Matt Olson [PITCHER] Nick Pivetta [FIELDERS] Alex Verdugo, Alex Verdugo [MOVEMENTS] Matt Olson home -> home [out], Guillermo Heredia 2 -> home [out]
[PLAY] Strikeout [BATTER] Austin Riley [PITCHER] Nick Pivetta [MOVEMENTS] Austin Riley home -> home [out]
[PLAY] Strikeout [BATTER] Bobby Dalbec [PITCHER] Kyle Wright [MOVEMENTS] Bobby Dalbec home -> home [out]
[PLAY] Bunt Groundout [BATTER] Jackie Bradley Jr. [PITCHER] Kyle Wright [FIELDERS] Kyle Wright [MOVEMENTS] Jackie Bradley Jr. home -> home [out]
[PLAY] Strikeout [BATTER] Christian Vázquez [PITCHER] Kyle Wright [MOVEMENTS] Christian Vázquez home -> home [out]
[PLAY] Groundout [BATTER] Marcell Ozuna [PITCHER] Hirokazu Sawamura [FIELDERS] Rafael Devers [MOVEMENTS] Marcell Ozuna home -> home [out]
[PLAY] Flyout [BATTER] Adam Duvall [PITCHER] Hirokazu Sawamura [FIELDERS] Jackie Bradley Jr. [MOVEMENTS] Adam Duvall home -> home [out]
[PLAY] Lineout [BATTER] Alex Dickerson [PITCHER] Hirokazu Sawamura [FIELDERS] Franchy Cordero [MOVEMENTS] Alex Dickerson home -> home [out]
[PLAY] Strikeout [BATTER] Jonathan Araúz [PITCHER] Kyle Wright [MOVEMENTS] Jonathan Araúz home -> home [out]
[PLAY] Flyout [BATTER] Yolmer Sánchez [PITCHER] Kyle Wright [FIELDERS] Adam Duvall [MOVEMENTS] Yolmer Sánchez home -> home [out]
[PLAY] Single [BATTER] Enrique Hernández [PITCHER] Kyle Wright [MOVEMENTS] Enrique Hernández home -> 1, Enrique Hernández 1 -> 2
[PLAY] Single [BATTER] Travis Shaw [PITCHER] Kyle Wright [MOVEMENTS] Travis Shaw home -> 1, Travis Shaw 1 -> 2, Rob Refsnyder 2 -> 4
[PLAY] Strikeout [BATTER] J.D. Martinez [PITCHER] Kyle Wright [MOVEMENTS] J.D. Martinez home -> home [out]
[PLAY] Flyout [BATTER] Orlando Arcia [PITCHER] John Schreiber [FIELDERS] Rob Refsnyder [MOVEMENTS] Orlando Arcia home -> home [out]
[PLAY] Groundout [BATTER] William Contreras [PITCHER] John Schreiber [FIELDERS] Marcelo Mayer [MOVEMENTS] William Contreras home -> home [out]
[PLAY] Strikeout [BATTER] Guillermo Heredia [PITCHER] John Schreiber [MOVEMENTS] Guillermo Heredia home -> home [out]
[PLAY] Strikeout [BATTER] Franchy Cordero [PITCHER] Kyle Wright [MOVEMENTS] Franchy Cordero home -> home [out]
[PLAY] Flyout [BATTER] Bobby Dalbec [PITCHER] Kyle Wright [FIELDERS] Jesse Franklin V [MOVEMENTS] Bobby Dalbec home -> home [out]
