[GAME] 706916 [DATE] 2022-03-22 [VENUE] American Family Field [WEATHER] Sunny 78 10

[TEAM] 158
[CENTER_FIELD] Lorenzo Cain
[LEFT_FIELD] Andrew McCutchen
[PITCHER] Josh Lindblom
[OUTFIELD] Abraham Almonte
[PITCHER] Brad Boxberger
[SECOND_BASE] Kolten Wong
[CATCHER] Omar Narváez
[PITCHER] Rex Brothers
[PITCHER] Hoby Milner
[DESIGNATED_HITTER] Jon Singleton
[RIGHT_FIELD] Hunter Renfroe
[PITCHER] Connor Sadzeck
[LEFT_FIELD] Christian Yelich
[PITCHER] Jandel Gustave
[CATCHER] Pedro Severino
[PITCHER] Adrian Houser
[PITCHER] Brandon Woodruff
[PITCHER] Luis Perdomo
[THIRD_BASE] Jace Peterson
[PITCHER] Brent Suter
[OUTFIELD] David Dahl
[CENTER_FIELD] Tyrone Taylor
[SECOND_BASE] Pablo Reyes
[PITCHER] Angel Perdomo
[PITCHER] Josh Hader
[PITCHER] Justin Topa
[CATCHER] Brian Navarreto
[OUTFIELD] Dustin Peterson
[PITCHER] Zack Brown
[LEFT_FIELD] Jonathan Davis
[PITCHER] Trevor Gott
[PITCHER] Eric Lauer
[RIGHT_FIELD] Corey Ray
[FIRST_BASE] Rowdy Tellez
[THIRD_BASE] Jamie Westbrook
[PITCHER] Devin Williams
[THIRD_BASE] Weston Wilson
[PITCHER] Freddy Peralta
[SHORTSTOP] Willy Adames
[FIRST_BASE] Tyler White
[SHORTSTOP] Luis Urías
[PITCHER] J.C. Mejía
[PITCHER] Carlos Luna
[SHORTSTOP] Andruw Monasterio
[PITCHER] Moises Gomez
[CATCHER] Jakson Reetz
[PITCHER] Peter Strzelecki
[PITCHER] Nash Walters
[OUTFIELD] Garrett Whitley
[PITCHER] Ethan Small
[SECOND_BASE] Mark Mathias
[PITCHER] Jake Cousins
[CATCHER] Brett Sullivan
[PITCHER] Trevor Kelley
[PITCHER] Hobie Harris
[CATCHER] Mario Feliciano
[PITCHER] Harold Chirino
[PITCHER] Miguel Sánchez
[PITCHER] Lucas Erceg
[PITCHER] Dylan File
[SHORTSTOP] Brice Turang
[SECOND_BASE] Freddy Zamora
[CENTER_FIELD] Garrett Mitchell
[PITCHER] Corbin Burnes
[OUTFIELD] Joe Gray Jr.
[DESIGNATED_HITTER] Keston Hiura
[PITCHER] Thomas Jankins
[PITCHER] Jason Alexander
[FIRST_BASE] Mike Brosseau
[OUTFIELD] Tristan Peters
[PITCHER] Luke Barker
[PITCHER] J.T. Hintzen
[PITCHER] Victor Castaneda
[PITCHER] Robbie Hitt
[PITCHER] Alec Bettinger
[SHORTSTOP] Hayden Cantrelle
[OUTFIELD] Korry Howell
[PITCHER] Aaron Ashby
[PITCHER] Caleb Boushley
[PITCHER] Matt Hardy
[LEFT_FIELD] Carlos D. Rodriguez
[PITCHER] Antoine Kelly
[PITCHER] Robbie Baker
[PITCHER] Abner Uribe
[CENTER_FIELD] Sal Frelick
[OUTFIELD] Joey Wiemer
[PITCHER] Zach Vennaro
[OUTFIELD] Reminton Batista

[TEAM] 145
[PITCHER] Lance Lynn
[CATCHER] Yasmani Grandal
[PITCHER] Craig Kimbrel
[PITCHER] Liam Hendriks
[PITCHER] Joe Kelly
[SECOND_BASE] Josh Harrison
[RIGHT_FIELD] Leury García
[DESIGNATED_HITTER] José Abreu
[PITCHER] Dallas Keuchel
[PITCHER] Vince Velasquez
[PINCH_HITTER] Dwight Smith Jr.
[PITCHER] Wes Benjamin
[PITCHER] Kyle Crick
[PITCHER] Brandon Finnegan
[PITCHER] Yacksel Ríos
[FIRST_BASE] Yermín Mercedes
[PITCHER] Aaron Bummer
[PITCHER] Lucas Giolito
[PITCHER] Kendall Graveman
[PITCHER] José Ruiz
[PITCHER] Ryan Burr
[PITCHER] Tanner Banks
[LEFT_FIELD] Zach Remillard
[FIRST_BASE] Patrick Kivlehan
[SECOND_BASE] Tyler Krieger
[CATCHER] Nick Ciuffo
[THIRD_BASE] Ryder Jones
[PITCHER] Reynaldo López
[SHORTSTOP] Tim Anderson
[CATCHER] Zack Collins
[PITCHER] Jake Elliott
[RIGHT_FIELD] Adam Engel
[CATCHER] Xavier Fernández
[PITCHER] Matt Foster
[PITCHER] Emilio Vargas
[CENTER_FIELD] Luis Alexander Basabe
[PITCHER] Anderson Severino
[LEFT_FIELD] Eloy Jiménez
[RIGHT_FIELD] Micker Adolfo
[SHORTSTOP] Laz Rivera
[CATCHER] Carlos Pérez
[PITCHER] Hansen Butler
[PITCHER] Dylan Cease
[LEFT_FIELD] Alex Destino
[PITCHER] Tyler Johnson
[PITCHER] Michael Kopech
[PITCHER] Kade McClure
[PITCHER] Bennett Sousa
[PITCHER] Will Carter
[FIRST_BASE] Gavin Sheets
[THIRD_BASE] Yoán Moncada
[PITCHER] Jason Bilous
[OUTFIELD] Cornelius Randolph
[SECOND_BASE] Romy Gonzalez
[OUTFIELD] Joel Booker
[CATCHER] Seby Zavala
[SHORTSTOP] Danny Mendick
[PITCHER] Kyle Kubat
[LEFT_FIELD] Blake Rutherford
[PITCHER] Johan Dominguez
[PITCHER] J.B. Olson
[OUTFIELD] Caberea Weaver
[PITCHER] Zach Muckenhirn
[PITCHER] Lincoln Henzman
[THIRD_BASE] Jake Burger
[PITCHER] Jimmy Lambert
[PITCHER] Gil Luna
[INFIELD] Brandon Bossard
[OUTFIELD] Craig Dedelow
[PITCHER] Sammy Peralta
[RIGHT_FIELD] Luis Mieses
[SHORTSTOP] Lenyn Sosa
[CENTER_FIELD] Luis Robert Jr.
[CENTER_FIELD] Yoelqui Céspedes
[PITCHER] Caleb Freeman
[PITCHER] Hunter Schryver
[PITCHER] Garrett Schoenle
[PITCHER] Garrett Crochet
[PITCHER] Wilber Perez
[PITCHER] Edgar Navarro
[SHORTSTOP] José Rodríguez
[CATCHER] Adam Hackenberg
[PITCHER] Andrew Pérez
[PITCHER] Yoelvin Silven
[THIRD_BASE] Bryan Ramos
[FIRST_BASE] Andrew Vaughn
[SHORTSTOP] Wilber Sanchez
[PITCHER] McKinley Moore
[PITCHER] Vince Vannelle
[PITCHER] Ty Madrigal
[PITCHER] Theo Denlinger
[PITCHER] Trey Jeans
[PITCHER] Jordan Mikel
[SECOND_BASE] Yolbert Sanchez
[OUTFIELD] Oscar Colás
[PITCHER] Taylor Broadway
[CATCHER] Colby Smelley

[GAME_START]
[PLAY] Strikeout [BATTER] Tim Anderson [PITCHER] Jason Alexander [MOVEMENTS] Tim Anderson home -> home [out]
[PLAY] Flyout [BATTER] Luis Robert Jr. [PITCHER] Jason Alexander [FIELDERS] Hunter Renfroe [MOVEMENTS] Luis Robert Jr. home -> home [out]
[PLAY] Groundout [BATTER] José Abreu [PITCHER] Jason Alexander [FIELDERS] Pablo Reyes [MOVEMENTS] José Abreu home -> home [out]
[PLAY] Flyout [BATTER] Lorenzo Cain [PITCHER] Lucas Giolito [FIELDERS] Leury García [MOVEMENTS] Lorenzo Cain home -> home [out]
[PLAY] Strikeout [BATTER] Omar Narváez [PITCHER] Lucas Giolito [MOVEMENTS] Omar Narváez home -> home [out]
[PLAY] Strikeout [BATTER] Hunter Renfroe [PITCHER] Lucas Giolito [MOVEMENTS] Hunter Renfroe home -> home [out]
[PLAY] Flyout [BATTER] Yoán Moncada [PITCHER] Jason Alexander [FIELDERS] Lorenzo Cain [MOVEMENTS] Yoán Moncada home -> home [out]
[PLAY] Walk [BATTER] Eloy Jiménez [PITCHER] Jason Alexander [MOVEMENTS] Eloy Jiménez home -> 1
[PLAY] Grounded Into Double Play [BATTER] Yasmani Grandal [PITCHER] Jason Alexander [FIELDERS] Jace Peterson, Andruw Monasterio [MOVEMENTS] Eloy Jiménez 1 -> home [out], Yasmani Grandal home -> home [out]
[PLAY] Strikeout [BATTER] Keston Hiura [PITCHER] Lucas Giolito [MOVEMENTS] Keston Hiura home -> home [out]
[PLAY] Strikeout [BATTER] Mike Brosseau [PITCHER] Lucas Giolito [MOVEMENTS] Mike Brosseau home -> home [out]
[PLAY] Single [BATTER] Pablo Reyes [PITCHER] Lucas Giolito [MOVEMENTS] Pablo Reyes home -> 1
[PLAY] Pop Out [BATTER] Jace Peterson [PITCHER] Lucas Giolito [FIELDERS] Yoán Moncada [MOVEMENTS] Jace Peterson home -> home [out]
[PLAY] Walk [BATTER] Leury García [PITCHER] Devin Williams [MOVEMENTS] Leury García home -> 1
[PLAY] Double [BATTER] Josh Harrison [PITCHER] Devin Williams [MOVEMENTS] Josh Harrison home -> 2, Leury García 1 -> 3, Leury García 3 -> 4
[PLAY] Single [BATTER] Andrew Vaughn [PITCHER] Devin Williams [MOVEMENTS] Andrew Vaughn home -> 1, Josh Harrison 2 -> 3
[PLAY] Strikeout [BATTER] Tim Anderson [PITCHER] Devin Williams [MOVEMENTS] Tim Anderson home -> home [out]
[PLAY] Strikeout [BATTER] Luis Robert Jr. [PITCHER] Devin Williams [MOVEMENTS] Luis Robert Jr. home -> home [out]
[PLAY] Flyout [BATTER] José Abreu [PITCHER] Devin Williams [FIELDERS] Lorenzo Cain [MOVEMENTS] José Abreu home -> home [out]
[PLAY] Flyout [BATTER] Jonathan Davis [PITCHER] Lucas Giolito [FIELDERS] Josh Harrison [MOVEMENTS] Jonathan Davis home -> home [out]
[PLAY] Groundout [BATTER] Andruw Monasterio [PITCHER] Lucas Giolito [FIELDERS] Yoán Moncada [MOVEMENTS] Andruw Monasterio home -> home [out]
[PLAY] Walk [BATTER] Lorenzo Cain [PITCHER] Lucas Giolito [MOVEMENTS] Lorenzo Cain home -> 1
[PLAY] Groundout [BATTER] Omar Narváez [PITCHER] Lucas Giolito [FIELDERS] Yoán Moncada [MOVEMENTS] Omar Narváez home -> home [out]
[PLAY] Groundout [BATTER] Yoán Moncada [PITCHER] Luis Perdomo [FIELDERS] Mike Brosseau [MOVEMENTS] Yoán Moncada home -> home [out]
[PLAY] Groundout [BATTER] Eloy Jiménez [PITCHER] Luis Perdomo [FIELDERS] Jace Peterson [MOVEMENTS] Eloy Jiménez home -> home [out]
[PLAY] Groundout [BATTER] Yasmani Grandal [PITCHER] Luis Perdomo [FIELDERS] Jace Peterson [MOVEMENTS] Yasmani Grandal home -> home [out]
[PLAY] Strikeout [BATTER] Hunter Renfroe [PITCHER] Kendall Graveman [MOVEMENTS] Hunter Renfroe home -> home [out]
[PLAY] Groundout [BATTER] Keston Hiura [PITCHER] Kendall Graveman [FIELDERS] Kendall Graveman [MOVEMENTS] Keston Hiura home -> home [out]
[PLAY] Strikeout [BATTER] Mike Brosseau [PITCHER] Kendall Graveman [MOVEMENTS] Mike Brosseau home -> home [out]
[PLAY] Groundout [BATTER] Leury García [PITCHER] Miguel Sánchez [FIELDERS] Mike Brosseau [MOVEMENTS] Leury García home -> home [out]
[PLAY] Groundout [BATTER] Josh Harrison [PITCHER] Miguel Sánchez [FIELDERS] Jace Peterson [MOVEMENTS] Josh Harrison home -> home [out]
[PLAY] Lineout [BATTER] Andrew Vaughn [PITCHER] Miguel Sánchez [FIELDERS] Jonathan Davis [MOVEMENTS] Andrew Vaughn home -> home [out]
[PLAY] Single [BATTER] Pablo Reyes [PITCHER] Dallas Keuchel [MOVEMENTS] Pablo Reyes home -> 1
[PLAY] Strikeout [BATTER] Jace Peterson [PITCHER] Dallas Keuchel [MOVEMENTS] Jace Peterson home -> home [out]
[PLAY] Groundout [BATTER] Jonathan Davis [PITCHER] Dallas Keuchel [FIELDERS] Yoán Moncada [MOVEMENTS] Jonathan Davis home -> home [out], Pablo Reyes 1 -> 2
[PLAY] Groundout [BATTER] Andruw Monasterio [PITCHER] Dallas Keuchel [FIELDERS] Andrew Vaughn [MOVEMENTS] Andruw Monasterio home -> home [out]
[PLAY] Single [BATTER] Tim Anderson [PITCHER] Trevor Kelley [MOVEMENTS] Tim Anderson home -> 1
[PLAY] Groundout [BATTER] Luis Robert Jr. [PITCHER] Trevor Kelley [FIELDERS] Jace Peterson [MOVEMENTS] Luis Robert Jr. home -> home [out], Tim Anderson 1 -> 2
[PLAY] Walk [BATTER] José Abreu [PITCHER] Trevor Kelley [MOVEMENTS] José Abreu home -> 1
[PLAY] Strikeout [BATTER] Yoán Moncada [PITCHER] Trevor Kelley [MOVEMENTS] Yoán Moncada home -> home [out]
[PLAY] Double [BATTER] Eloy Jiménez [PITCHER] Trevor Kelley [MOVEMENTS] Eloy Jiménez home -> 2, José Abreu 1 -> 3, José Abreu 3 -> 4, Tim Anderson 2 -> 4
