[GAME] 719031 [DATE] 2023-03-20 [VENUE] Coors Field [WEATHER] Cloudy 67 8

[TEAM] 115
[PITCHER] Daniel Bard
[DESIGNATED_HITTER] Charlie Blackmon
[PITCHER] Fernando Abad
[DESIGNATED_HITTER] Mike Moustakas
[FIRST_BASE] C.J. Cron
[PITCHER] Brad Hand
[CATCHER] Elias Díaz
[PITCHER] Phillips Valdez
[PITCHER] José Ureña
[PITCHER] Matt Carasiti
[PITCHER] Matt Koch
[PITCHER] Pierce Johnson
[RIGHT_FIELD] Kris Bryant
[PITCHER] Austin Gomber
[CENTER_FIELD] Yonathan Daza
[FIRST_BASE] Harold Castro
[PITCHER] Kyle Freeland
[PITCHER] Germán Márquez
[PITCHER] Brent Suter
[PITCHER] Ty Blach
[PITCHER] Antonio Senzatela
[CENTER_FIELD] Bret Boswell
[THIRD_BASE] Ryan McMahon
[PITCHER] Josh Rogers
[PITCHER] T.J. Zeuch
[PITCHER] Jake Bird
[LEFT_FIELD] Sean Bouchard
[PITCHER] Tommy Doyle
[PITCHER] Lucas Gilbreath
[SECOND_BASE] Cole Tucker
[PITCHER] Will Gaddis
[PITCHER] Connor Seabold
[PITCHER] Dinelson Lamet
[THIRD_BASE] Elehuris Montero
[PITCHER] Eli Lingos
[CATCHER] Brian Serven
[PITCHER] Ryan Feltner
[PITCHER] Logan Allen
[PITCHER] Peter Lambert
[SHORTSTOP] Connor Kaiser
[SHORTSTOP] Coco Montes
[SECOND_BASE] Brendan Rodgers
[SECOND_BASE] Kyle Datres
[PITCHER] Justin Lawrence
[FIRST_BASE] Jonathan Morales
[LEFT_FIELD] Daniel Montano
[PITCHER] Karl Kauffmann
[SECOND_BASE] Hunter Stovall
[THIRD_BASE] Aaron Schunk
[PITCHER] Gavin Hollowell
[PITCHER] Ryan Rolison
[PITCHER] Mitchell Kilkenny
[FIRST_BASE] Michael Toglia
[CATCHER] AJ Lewis
[PITCHER] Jeff Criswell
[PITCHER] PJ Poulin
[SECOND_BASE] Alan Trejo
[LEFT_FIELD] Jimmy Herron
[PITCHER] Nick Kuzia
[THIRD_BASE] LJ Hatch
[SHORTSTOP] Ezequiel Tovar
[OUTFIELD] Bladimir Restituyo
[CENTER_FIELD] Jameson Hannah
[FIRST_BASE] Grant Lavigne
[CATCHER] Willie MacIver
[CATCHER] Ronaiker Palma
[PITCHER] Stephen Jones
[OUTFIELD] Juan Guerrero
[PITCHER] Nick Mears
[CATCHER] Daniel Cope
[SHORTSTOP] Nic Kent
[PITCHER] Austin Kitchen
[OUTFIELD] Braiden Ward
[INFIELD] Trevor Boone
[CENTER_FIELD] Brenton Doyle
[PITCHER] Gabriel Hughes
[PITCHER] Fineas Del Bonta-Smith
[RIGHT_FIELD] Jordan Beck
[OUTFIELD] Yorvis Torrealba
[PITCHER] Jared Biddy
[PITCHER] Blake Goldsberry
[CATCHER] Braxton Fulford
[CATCHER] Drew Romo
[SHORTSTOP] Adael Amador
[LEFT_FIELD] Zac Veen
[PITCHER] Noah Gotsis
[OUTFIELD] Yanquiel Fernandez
[PITCHER] Nick Garcia
[RIGHT_FIELD] Sterlin Thompson
[PITCHER] Case Williams
[OUTFIELD] Benny Montgomery
[DESIGNATED_HITTER] Hunter Goodman
[PITCHER] Dugan Darnell

[TEAM] 119
[LEFT_FIELD] David Peralta
[PITCHER] Clayton Kershaw
[SHORTSTOP] Miguel Rojas
[DESIGNATED_HITTER] J.D. Martinez
[FIRST_BASE] Freddie Freeman
[CENTER_FIELD] Jason Heyward
[PITCHER] Jimmy Nelson
[PITCHER] Rubby De La Rosa
[PITCHER] Matt Andriese
[PITCHER] Daniel Hudson
[CATCHER] David Freitas
[PITCHER] James Jones
[PITCHER] Shelby Miller
[THIRD_BASE] Max Muncy
[CENTER_FIELD] Trayce Thompson
[PITCHER] Robbie Erlin
[PITCHER] Dylan Covey
[PITCHER] Adam Kolarek
[PITCHER] Noah Syndergaard
[PITCHER] Wander Suero
[PITCHER] Jake Reed
[CATCHER] Austin Barnes
[RIGHT_FIELD] Mookie Betts
[PITCHER] Tayler Scott
[CENTER_FIELD] Bradley Zimmer
[CATCHER] Hamlet Marte
[SHORTSTOP] Chris Taylor
[PITCHER] Alex Reyes
[RIGHT_FIELD] Steven Duggar
[PITCHER] Yency Almonte
[PITCHER] Evan Phillips
[SECOND_BASE] Bryson Brigman
[PITCHER] Victor González
[PITCHER] Julio Urías
[PITCHER] Phil Bickford
[RIGHT_FIELD] Michael Reed
[PITCHER] Keegan Curtis
[PITCHER] Andre Jackson
[FIRST_BASE] Justin Yurchak
[PITCHER] Caleb Ferguson
[THIRD_BASE] Yonny Hernández
[PITCHER] Brusdar Graterol
[SECOND_BASE] Jahmai Jones
[OUTFIELD] Anderson Miller
[CATCHER] Ryan January
[PITCHER] Tanner Dodson
[PITCHER] Bryan Hudson
[RIGHT_FIELD] Josh Stowers
[PITCHER] Justin Hagenman
[THIRD_BASE] Luke Williams
[PITCHER] Tony Gonsolin
[PITCHER] Tyler Cyr
[CATCHER] Patrick Mazeika
[SHORTSTOP] Gavin Lux
[PITCHER] Juan Morillo
[RIGHT_FIELD] Yusniel Díaz
[PITCHER] Marshall Kasowski
[PITCHER] Dustin May
[CATCHER] Will Smith
[THIRD_BASE] Devin Mann
[FIRST_BASE] Ryan Ward
[PITCHER] Trevor Bettencourt
[PITCHER] Aldry Acosta
[OUTFIELD] Ismael Alcantara
[CATCHER] Wladimir Chalo
[PITCHER] Jordan Leasure
[CATCHER] Griffin Lockwood-Powell
[PITCHER] Michael Grove
[PITCHER] Mark Washington
[PITCHER] Jack Dreyer
[PITCHER] Bobby Miller
[CATCHER] Hunter Feduccia
[PITCHER] Logan Salow
[PITCHER] Justin Bruihl
[PITCHER] Ben Harris
[SECOND_BASE] Miguel Vargas
[PITCHER] John Rooney
[PITCHER] Braydon Fisher
[OUTFIELD] Aldrich De Jongh
[PITCHER] Nick Nastrini
[LEFT_FIELD] James Outman
[PITCHER] Julian Smith
[PITCHER] Alex Vesia
[PITCHER] Antonio Knowles
[LEFT_FIELD] Drew Avans
[THIRD_BASE] Kody Hoese
[CENTER_FIELD] Jose Ramos
[PITCHER] Christian Suarez
[OUTFIELD] Chris Newell
[SECOND_BASE] Sean McLain
[PITCHER] Carlo Reyes
[PITCHER] Aaron Ochsenbein
[SHORTSTOP] Max Hewitt
[CATCHER] Jefferson Valladares
[PITCHER] Madison Jeffrey
[PITCHER] Ryan Pepiot
[PINCH_HITTER] Brandon Lewis
[CATCHER] Dalton Rushing
[PITCHER] Nick Robertson
[SECOND_BASE] Zac Ching
[PITCHER] Landon Knack
[PITCHER] Lucas Wepf
[SHORTSTOP] Alex Freeland
[OUTFIELD] Yeiner Fernandez
[CENTER_FIELD] Jake Vogel
[SHORTSTOP] Jose Izarra
[PITCHER] Roque Gutierrez
[OUTFIELD] Gaige Howard
[OUTFIELD] Kyle Nevin
[SHORTSTOP] Wilman Diaz
[CATCHER] Jesus Galiz
[PITCHER] Gavin Stone
[SHORTSTOP] Rayne Doncon
[CATCHER] Thayron Liranzo
[OUTFIELD] Damon Keith
[PITCHER] Jake Pilarski
[SHORTSTOP] Oswaldo Osorio
[SECOND_BASE] Taylor Young

[GAME_START]
[PLAY] Strikeout [BATTER] David Peralta [PITCHER] Gabriel Hughes [MOVEMENTS] David Peralta home -> home [out]
[PLAY] Strikeout [BATTER] Chris Taylor [PITCHER] Gabriel Hughes [MOVEMENTS] Chris Taylor home -> home [out]
[PLAY] Strikeout [BATTER] Jason Heyward [PITCHER] Gabriel Hughes [MOVEMENTS] Jason Heyward home -> home [out]
[PLAY] Pop Out [BATTER] Yonathan Daza [PITCHER] Tayler Scott [FIELDERS] Ryan Ward [MOVEMENTS] Yonathan Daza home -> home [out]
[PLAY] Lineout [BATTER] Michael Toglia [PITCHER] Tayler Scott [FIELDERS] Miguel Vargas [MOVEMENTS] Michael Toglia home -> home [out]
[PLAY] Groundout [BATTER] Elehuris Montero [PITCHER] Tayler Scott [FIELDERS] Ryan Ward [MOVEMENTS] Elehuris Montero home -> home [out]
[PLAY] Groundout [BATTER] J.D. Martinez [PITCHER] Gabriel Hughes [FIELDERS] Michael Toglia [MOVEMENTS] J.D. Martinez home -> home [out]
[PLAY] Flyout [BATTER] Miguel Vargas [PITCHER] Gabriel Hughes [FIELDERS] Brenton Doyle [MOVEMENTS] Miguel Vargas home -> home [out]
[PLAY] Strikeout [BATTER] Steven Duggar [PITCHER] Gabriel Hughes [MOVEMENTS] Steven Duggar home -> home [out]
[PLAY] Strikeout [BATTER] Mike Moustakas [PITCHER] Caleb Ferguson [MOVEMENTS] Mike Moustakas home -> home [out]
[PLAY] Single [BATTER] Elias Díaz [PITCHER] Caleb Ferguson [MOVEMENTS] Elias Díaz home -> 1
[PLAY] Double [BATTER] Coco Montes [PITCHER] Caleb Ferguson [MOVEMENTS] Coco Montes home -> 2, Elias Díaz 1 -> 3
[PLAY] Single [BATTER] Zac Veen [PITCHER] Caleb Ferguson [MOVEMENTS] Zac Veen home -> 1, Elias Díaz 3 -> 4, Coco Montes 2 -> 3
[PLAY] Single [BATTER] Brenton Doyle [PITCHER] Caleb Ferguson [MOVEMENTS] Brenton Doyle home -> 1, Zac Veen 1 -> 2, Zac Veen 2 -> 3, Coco Montes 3 -> 4
[PLAY] Strikeout [BATTER] Cole Tucker [PITCHER] Caleb Ferguson [MOVEMENTS] Cole Tucker home -> home [out]
[PLAY] Strikeout [BATTER] Yonathan Daza [PITCHER] Evan Phillips [MOVEMENTS] Brenton Doyle 1 -> 2, Yonathan Daza home -> home [out]
[PLAY] Flyout [BATTER] Luke Williams [PITCHER] Gabriel Hughes [FIELDERS] Brenton Doyle [MOVEMENTS] Luke Williams home -> home [out]
[PLAY] Single [BATTER] Ryan Ward [PITCHER] Gabriel Hughes [MOVEMENTS] Ryan Ward home -> 1
[PLAY] Grounded Into Double Play [BATTER] David Freitas [PITCHER] Gabriel Hughes [FIELDERS] Coco Montes, Cole Tucker [MOVEMENTS] Ryan Ward 1 -> home [out], David Freitas home -> home [out]
[PLAY] Lineout [BATTER] Michael Toglia [PITCHER] Evan Phillips [FIELDERS] Jason Heyward [MOVEMENTS] Michael Toglia home -> home [out]
[PLAY] Strikeout [BATTER] Elehuris Montero [PITCHER] Evan Phillips [MOVEMENTS] Elehuris Montero home -> home [out]
[PLAY] Strikeout [BATTER] Mike Moustakas [PITCHER] Alex Vesia [MOVEMENTS] Mike Moustakas home -> home [out]
[PLAY] Pop Out [BATTER] David Peralta [PITCHER] Connor Seabold [FIELDERS] Elehuris Montero [MOVEMENTS] David Peralta home -> home [out]
[PLAY] Strikeout [BATTER] Chris Taylor [PITCHER] Connor Seabold [MOVEMENTS] Chris Taylor home -> home [out]
[PLAY] Groundout [BATTER] Jason Heyward [PITCHER] Connor Seabold [FIELDERS] Cole Tucker [MOVEMENTS] Jason Heyward home -> home [out]
[PLAY] Strikeout [BATTER] Elias Díaz [PITCHER] Alex Vesia [MOVEMENTS] Elias Díaz home -> home [out]
[PLAY] Single [BATTER] Coco Montes [PITCHER] Alex Vesia [MOVEMENTS] Coco Montes home -> 1
[PLAY] Strikeout [BATTER] Zac Veen [PITCHER] Alex Vesia [MOVEMENTS] Zac Veen home -> home [out]
[PLAY] Double [BATTER] Brenton Doyle [PITCHER] Aldry Acosta [MOVEMENTS] Brenton Doyle home -> 2, Coco Montes 1 -> 3, Coco Montes 3 -> 4
[PLAY] Groundout [BATTER] Cole Tucker [PITCHER] Aldry Acosta [FIELDERS] Aldry Acosta [MOVEMENTS] Brenton Doyle 2 -> 3, Cole Tucker home -> home [out]
[PLAY] Single [BATTER] J.D. Martinez [PITCHER] Connor Seabold [MOVEMENTS] J.D. Martinez home -> 1
[PLAY] Grounded Into Double Play [BATTER] Miguel Vargas [PITCHER] Connor Seabold [FIELDERS] Coco Montes, Cole Tucker [MOVEMENTS] J.D. Martinez 1 -> home [out], Miguel Vargas home -> home [out]
[PLAY] Flyout [BATTER] Steven Duggar [PITCHER] Connor Seabold [FIELDERS] Yonathan Daza [MOVEMENTS] Steven Duggar home -> home [out]
[PLAY] Groundout [BATTER] Yonathan Daza [PITCHER] Tyler Cyr [FIELDERS] Luke Williams [MOVEMENTS] Yonathan Daza home -> home [out]
[PLAY] Lineout [BATTER] Michael Toglia [PITCHER] Tyler Cyr [FIELDERS] Chris Taylor [MOVEMENTS] Michael Toglia home -> home [out]
[PLAY] Strikeout [BATTER] Elehuris Montero [PITCHER] Tyler Cyr [MOVEMENTS] Elehuris Montero home -> home [out]
[PLAY] Groundout [BATTER] Luke Williams [PITCHER] Brad Hand [FIELDERS] Coco Montes [MOVEMENTS] Luke Williams home -> home [out]
[PLAY] Flyout [BATTER] Ryan Ward [PITCHER] Brad Hand [FIELDERS] Yonathan Daza [MOVEMENTS] Ryan Ward home -> home [out]
[PLAY] Lineout [BATTER] David Freitas [PITCHER] Brad Hand [FIELDERS] Cole Tucker [MOVEMENTS] David Freitas home -> home [out]
[PLAY] Lineout [BATTER] Mike Moustakas [PITCHER] Victor González [FIELDERS] Jason Heyward [MOVEMENTS] Mike Moustakas home -> home [out]
[PLAY] Strikeout [BATTER] Elias Díaz [PITCHER] Victor González [MOVEMENTS] Elias Díaz home -> home [out]
[PLAY] Flyout [BATTER] Coco Montes [PITCHER] Victor González [FIELDERS] Steven Duggar [MOVEMENTS] Coco Montes home -> home [out]
[PLAY] Walk [BATTER] David Peralta [PITCHER] Josh Rogers [MOVEMENTS] David Peralta home -> 1
[PLAY] Walk [BATTER] Chris Taylor [PITCHER] Josh Rogers [MOVEMENTS] Drew Avans 1 -> 2, Chris Taylor home -> 1
[PLAY] Single [BATTER] Jason Heyward [PITCHER] Josh Rogers [MOVEMENTS] Jason Heyward home -> 1, Drew Avans 2 -> 3, Alex Freeland 1 -> 2
[PLAY] Double Play [BATTER] J.D. Martinez [PITCHER] Josh Rogers [FIELDERS] Connor Kaiser, Connor Kaiser [MOVEMENTS] J.D. Martinez home -> home [out], Alex Freeland 2 -> home [out]
[PLAY] Flyout [BATTER] Miguel Vargas [PITCHER] Josh Rogers [FIELDERS] Sterlin Thompson [MOVEMENTS] Miguel Vargas home -> home [out]
[PLAY] Strikeout [BATTER] Zac Veen [PITCHER] Jake Pilarski [MOVEMENTS] Zac Veen home -> home [out]
[PLAY] Strikeout [BATTER] Brenton Doyle [PITCHER] Jake Pilarski [MOVEMENTS] Brenton Doyle home -> home [out]
[PLAY] Strikeout [BATTER] Sterlin Thompson [PITCHER] Jake Pilarski [MOVEMENTS] Sterlin Thompson home -> home [out]
[PLAY] Strikeout [BATTER] Steven Duggar [PITCHER] Nick Mears [MOVEMENTS] Steven Duggar home -> home [out]
[PLAY] Strikeout [BATTER] Luke Williams [PITCHER] Nick Mears [MOVEMENTS] Luke Williams home -> home [out]
[PLAY] Flyout [BATTER] Ryan Ward [PITCHER] Nick Mears [FIELDERS] Sterlin Thompson [MOVEMENTS] Ryan Ward home -> home [out]
[PLAY] Single [BATTER] Jonathan Morales [PITCHER] Juan Morillo [MOVEMENTS] Jonathan Morales home -> 1
[PLAY] Single [BATTER] Drew Romo [PITCHER] Juan Morillo [MOVEMENTS] Drew Romo home -> 1, Jonathan Morales 1 -> 2
[PLAY] Flyout [BATTER] Aaron Schunk [PITCHER] Juan Morillo [FIELDERS] Michael Reed [MOVEMENTS] Aaron Schunk home -> home [out]
[PLAY] Walk [BATTER] Hunter Goodman [PITCHER] Juan Morillo [MOVEMENTS] Jonathan Morales 2 -> 3, Drew Romo 1 -> 2, Hunter Goodman home -> 1
[PLAY] Fielders Choice [BATTER] Hunter Stovall [PITCHER] Juan Morillo [FIELDERS] Ryan Ward, Ryan Ward [MOVEMENTS] Hunter Goodman 1 -> 2, Jonathan Morales 3 -> 4, Drew Romo 2 -> 3, Hunter Stovall home -> 1
[PLAY] Sac Fly [BATTER] Connor Kaiser [PITCHER] Adam Kolarek [FIELDERS] Michael Reed [SCORING_RUNNER] Drew Romo [MOVEMENTS] Connor Kaiser home -> home [out], Drew Romo 3 -> 4, Hunter Goodman 2 -> 3
[PLAY] Groundout [BATTER] Bret Boswell [PITCHER] Adam Kolarek [FIELDERS] Bryson Brigman [MOVEMENTS] Bret Boswell home -> home [out]
[PLAY] Lineout [BATTER] Hunter Feduccia [PITCHER] Matt Koch [FIELDERS] Bret Boswell [MOVEMENTS] Hunter Feduccia home -> home [out]
[PLAY] Strikeout [BATTER] Drew Avans [PITCHER] Matt Koch [MOVEMENTS] Drew Avans home -> home [out]
[PLAY] Single [BATTER] Alex Freeland [PITCHER] Matt Koch [MOVEMENTS] Alex Freeland home -> 1
[PLAY] Field Error [BATTER] Bradley Zimmer [PITCHER] Matt Koch [FIELDERS] Hunter Stovall [MOVEMENTS] Alex Freeland 1 -> 2, Bradley Zimmer home -> 1, Alex Freeland 2 -> 3
[PLAY] Single [BATTER] Brandon Lewis [PITCHER] Matt Koch [MOVEMENTS] Brandon Lewis home -> 1, Alex Freeland 3 -> 4, Bradley Zimmer 1 -> 2
[PLAY] Flyout [BATTER] Bryson Brigman [PITCHER] Matt Koch [FIELDERS] Hunter Stovall [MOVEMENTS] Bryson Brigman home -> home [out]
[GAME_END]
