[GAME] 719228 [DATE] 2023-03-08 [VENUE] Minute Maid Park [WEATHER] Clear 81 14

[TEAM] 117
[CATCHER] Martín Maldonado
[DESIGNATED_HITTER] Michael Brantley
[SECOND_BASE] Jose Altuve
[PITCHER] Ryan Pressly
[FIRST_BASE] José Abreu
[SHORTSTOP] Dixon Machado
[PITCHER] Ryne Stanek
[PITCHER] Héctor Neris
[PITCHER] Rafael Montero
[THIRD_BASE] Alex Bregman
[PITCHER] Lance McCullers Jr.
[PITCHER] Ty Buttrey
[PITCHER] J.P. France
[PITCHER] Blake Taylor
[SECOND_BASE] Mauricio Dubón
[PITCHER] Bryan Garcia
[PITCHER] Bryan Abreu
[PITCHER] Brandon Bielak
[PITCHER] Austin Davis
[FIRST_BASE] J.J. Matijevic
[PITCHER] Parker Mushinski
[PITCHER] Matt Ruppenthal
[PITCHER] Matt Gage
[PITCHER] Enoli Paredes
[PITCHER] Seth Martinez
[RIGHT_FIELD] Kyle Tucker
[PITCHER] Derek West
[CATCHER] César Salazar
[PITCHER] Phil Maton
[PITCHER] Cristian Javier
[PITCHER] José Urquidy
[LEFT_FIELD] Marty Costes
[SHORTSTOP] Jeremy Peña
[CENTER_FIELD] Alex McKenna
[CATCHER] Luke Berryhill
[THIRD_BASE] Grae Kessinger
[PITCHER] Forrest Whitley
[LEFT_FIELD] Corey Julks
[CATCHER] C.J. Stubbs
[PITCHER] Austin Hansen
[DESIGNATED_HITTER] Joe Perez
[PITCHER] Brett Conine
[PITCHER] Ronel Blanco
[LEFT_FIELD] Yordan Alvarez
[CENTER_FIELD] Zach Daniels
[SHORTSTOP] Freudis Nova
[PITCHER] Ronny Garcia
[PITCHER] Jairo Solis
[CATCHER] Yainer Diaz
[PITCHER] Tyler Brown
[FIRST_BASE] Scott Schreiber
[PITCHER] Aaron Brown
[PITCHER] Colton Gordon
[PITCHER] Bryan Sammons
[THIRD_BASE] Rylan Bannon
[FIRST_BASE] Bligh Madris
[LEFT_FIELD] Jake Meyers
[RIGHT_FIELD] Chas McCormick
[SECOND_BASE] Chad Stevens
[PITCHER] Jose Betances
[PITCHER] Luis Garcia
[PITCHER] Franny Cobos
[RIGHT_FIELD] Ross Adolph
[OUTFIELD] Quincy Hamilton
[PITCHER] Jayden Murray
[OUTFIELD] Logan Cerny
[PITCHER] Shawn Dubin
[PITCHER] Devin Conn
[DESIGNATED_HITTER] David Hensley
[CATCHER] J.C. Correa
[PITCHER] Joe Record
[SHORTSTOP] Cristian Gonzalez
[CATCHER] Miguel Palma
[DESIGNATED_HITTER] Colin Barber
[PITCHER] Jimmy Endersby
[FIRST_BASE] Jordan Brewer
[PITCHER] Misael Tamarez
[PITCHER] Cesar Gomez
[CENTER_FIELD] Kenedy Corona
[PITCHER] Jaime Melendez
[PITCHER] Hunter Brown
[CATCHER] Korey Lee
[OUTFIELD] Luis Guerrero
[PITCHER] Ryan Gusto
[OUTFIELD] Michael Sandle
[CENTER_FIELD] Justin Dirden
[CENTER_FIELD] Jacob Melton
[SHORTSTOP] Shay Whitcomb
[SECOND_BASE] Will Wagner
[OUTFIELD] Tyler Whitaker
[PITCHER] Jacob DeLabio
[SHORTSTOP] Leosdany Molina
[CATCHER] Sandro Gaston
[CATCHER] Collin Price
[CATCHER] Joshoa Ferro

[TEAM] 176
[DESIGNATED_HITTER] Miguel Cabrera
[LEFT_FIELD] David Peralta
[CATCHER] Robinson Chirinos
[PITCHER] Jhoulys Chacín
[THIRD_BASE] Eduardo Escobar
[SECOND_BASE] Jose Altuve
[CATCHER] Salvador Perez
[PITCHER] Martín Pérez
[CENTER_FIELD] Hernán Pérez
[PITCHER] Edwin Escobar
[DESIGNATED_HITTER] Omar Narváez
[PITCHER] Endrys Briceno
[THIRD_BASE] Eugenio Suárez
[PITCHER] Eduardo Rodriguez
[PITCHER] Andrés Machado
[PITCHER] Silvino Bracho
[PITCHER] Erick Leal
[PITCHER] José Ruiz
[PITCHER] José Alvarado
[PITCHER] Anthony Vizcaya
[PITCHER] Elieser Hernández
[RIGHT_FIELD] Anthony Santander
[PITCHER] Ranger Suárez
[PITCHER] Alexis Rivero
[PITCHER] Pablo López
[PITCHER] Enmanuel De Jesus
[FIRST_BASE] Luis Arraez
[PITCHER] Darwinzon Hernández
[SECOND_BASE] Gleyber Torres
[PITCHER] José Quijada
[SHORTSTOP] Luis Rengifo
[PITCHER] Norwith Gudiño
[CENTER_FIELD] Ronald Acuña Jr.
[SHORTSTOP] Andrés Giménez
[PITCHER] Jesús Luzardo
[PITCHER] Max Castillo
[PITCHER] Carlos Hernández
[PITCHER] Ronny Garcia
[PITCHER] Jose Betances
[PITCHER] Luis Garcia
[PITCHER] Franny Cobos
[PITCHER] Devin Conn
[PITCHER] Ryan Gusto

[GAME_START]
[PLAY] Single [BATTER] Jose Altuve [PITCHER] Brandon Bielak [MOVEMENTS] Jose Altuve home -> 1
[PLAY] Double Play [BATTER] Ronald Acuña Jr. [PITCHER] Brandon Bielak [FIELDERS] Jake Meyers, Jake Meyers [MOVEMENTS] Ronald Acuña Jr. home -> home [out], Jose Altuve 1 -> home [out]
[PLAY] Groundout [BATTER] Luis Arraez [PITCHER] Brandon Bielak [FIELDERS] Bligh Madris [MOVEMENTS] Luis Arraez home -> home [out]
[PLAY] Double [BATTER] Mauricio Dubón [PITCHER] Ranger Suárez [MOVEMENTS] Mauricio Dubón home -> 2
[PLAY] Flyout [BATTER] Jake Meyers [PITCHER] Ranger Suárez [FIELDERS] David Peralta [MOVEMENTS] Jake Meyers home -> home [out], Mauricio Dubón 2 -> 3
[PLAY] Groundout [BATTER] Chas McCormick [PITCHER] Ranger Suárez [FIELDERS] Ranger Suárez [MOVEMENTS] Chas McCormick home -> home [out]
[PLAY] Walk [BATTER] Alex Bregman [PITCHER] Ranger Suárez [MOVEMENTS] Alex Bregman home -> 1
[PLAY] Strikeout [BATTER] Bligh Madris [PITCHER] Ranger Suárez [MOVEMENTS] Bligh Madris home -> home [out]
[PLAY] Groundout [BATTER] Miguel Cabrera [PITCHER] Brandon Bielak [FIELDERS] Mauricio Dubón [MOVEMENTS] Miguel Cabrera home -> home [out]
[PLAY] Home Run [BATTER] Salvador Perez [PITCHER] Brandon Bielak [MOVEMENTS] Salvador Perez home -> 4
[PLAY] Walk [BATTER] Andrés Giménez [PITCHER] Brandon Bielak [MOVEMENTS] Andrés Giménez home -> 1
[PLAY] Hit By Pitch [BATTER] Anthony Santander [PITCHER] Brandon Bielak [MOVEMENTS] Andrés Giménez 1 -> 2, Anthony Santander home -> 1
[PLAY] Strikeout [BATTER] Eugenio Suárez [PITCHER] Brandon Bielak [MOVEMENTS] Eugenio Suárez home -> home [out]
[PLAY] Single [BATTER] David Peralta [PITCHER] Brandon Bielak [MOVEMENTS] David Peralta home -> 1, Anthony Santander 1 -> 2, Anthony Santander 2 -> 3, Andrés Giménez 2 -> 3, Andrés Giménez 3 -> 4
[PLAY] Flyout [BATTER] Jose Altuve [PITCHER] Brandon Bielak [FIELDERS] Chas McCormick [MOVEMENTS] Jose Altuve home -> home [out]
[PLAY] Walk [BATTER] Alex McKenna [PITCHER] Ranger Suárez [MOVEMENTS] Alex McKenna home -> 1
[PLAY] Strikeout [BATTER] Korey Lee [PITCHER] Ranger Suárez [MOVEMENTS] Korey Lee home -> home [out]
[PLAY] Strikeout [BATTER] Dixon Machado [PITCHER] Ranger Suárez [MOVEMENTS] Dixon Machado home -> home [out]
[PLAY] Single [BATTER] Joe Perez [PITCHER] Ranger Suárez [MOVEMENTS] Joe Perez home -> 1, Alex McKenna 1 -> 2
[PLAY] Single [BATTER] Mauricio Dubón [PITCHER] Ranger Suárez [MOVEMENTS] Mauricio Dubón home -> 1, Joe Perez 1 -> 2, Joe Perez 2 -> 3, Alex McKenna 2 -> 3, Alex McKenna 3 -> 4
[PLAY] Strikeout [BATTER] Jake Meyers [PITCHER] Jose Betances [MOVEMENTS] Jake Meyers home -> home [out]
[PLAY] Strikeout [BATTER] Ronald Acuña Jr. [PITCHER] Brandon Bielak [MOVEMENTS] Ronald Acuña Jr. home -> home [out]
[PLAY] Groundout [BATTER] Luis Arraez [PITCHER] Brandon Bielak [FIELDERS] Bligh Madris [MOVEMENTS] Luis Arraez home -> home [out]
[PLAY] Groundout [BATTER] Miguel Cabrera [PITCHER] Brandon Bielak [FIELDERS] Alex Bregman [MOVEMENTS] Miguel Cabrera home -> home [out]
[PLAY] Walk [BATTER] Chas McCormick [PITCHER] Darwinzon Hernández [MOVEMENTS] Chas McCormick home -> 1
[PLAY] Walk [BATTER] Alex Bregman [PITCHER] Darwinzon Hernández [MOVEMENTS] Chas McCormick 1 -> 2, Alex Bregman home -> 1
[PLAY] Walk [BATTER] Bligh Madris [PITCHER] Darwinzon Hernández [MOVEMENTS] Chas McCormick 2 -> 3, Alex Bregman 1 -> 2, Bligh Madris home -> 1
