[GAME] 719189 [DATE] 2023-03-10 [VENUE] Busch Stadium [WEATHER] Clear 81 8

[TEAM] 138
[PITCHER] Adam Wainwright
[FIRST_BASE] Paul Goldschmidt
[PITCHER] Wilking Rodríguez
[THIRD_BASE] Nolan Arenado
[PITCHER] Steven Matz
[PITCHER] Miles Mikolas
[PITCHER] Drew VerHagen
[CATCHER] Willson Contreras
[THIRD_BASE] Juniel Querecuto
[THIRD_BASE] Taylor Motter
[PITCHER] Andrew Suárez
[PITCHER] Giovanny Gallegos
[PITCHER] Chris Stratton
[RIGHT_FIELD] Óscar Mercado
[PITCHER] Dakota Hudson
[CENTER_FIELD] Tyler O'Neill
[SECOND_BASE] Errol Robinson
[PITCHER] Génesis Cabrera
[PITCHER] Jack Flaherty
[LEFT_FIELD] Scott Hurst
[PITCHER] Jordan Montgomery
[DESIGNATED_HITTER] Paul DeJong
[PITCHER] Logan Sawyer
[FIRST_BASE] Juan Yepez
[LEFT_FIELD] Lars Nootbaar
[FIRST_BASE] Luken Baker
[PITCHER] Jake Woodford
[PITCHER] Jordan Hicks
[RIGHT_FIELD] Moisés Gómez
[PITCHER] Ryan Helsley
[PITCHER] James Naile
[PITCHER] Anthony Misiewicz
[PITCHER] Kenny Hernandez
[SHORTSTOP] José Fermín
[CENTER_FIELD] Dylan Carlson
[PITCHER] Grant Black
[PITCHER] Wilfredo Pereira
[CATCHER] Tres Barrera
[CATCHER] Andrew Knizner
[PITCHER] Zack Thompson
[PITCHER] JoJo Romero
[SHORTSTOP] Tommy Edman
[THIRD_BASE] Nolan Gorman
[PITCHER] Matthew Liberatore
[PITCHER] Andre Pallante
[SECOND_BASE] Kramer Robertson
[CATCHER] Iván Herrera
[PITCHER] Connor Thomas
[CATCHER] José Alvarez
[PITCHER] Jake Walsh
[PITCHER] Connor Lunn
[PITCHER] Packy Naughton
[PITCHER] Austin Love
[RIGHT_FIELD] Chase Pinder
[LEFT_FIELD] Alec Burleson
[SECOND_BASE] Irving Lopez
[PITCHER] Kodi Whitley
[PITCHER] Zane Mills
[SECOND_BASE] Brendan Donovan
[PITCHER] Kyle Leahy
[PITCHER] Edgar Escobar
[PITCHER] Inohan Paniagua
[PITCHER] Dalton Roach
[RIGHT_FIELD] Justin Toerner
[PITCHER] Tommy Parsons
[PITCHER] Joseph King
[CATCHER] Pedro Pagés
[PITCHER] Cooper Hjerpe
[CENTER_FIELD] Victor Scott II
[RIGHT_FIELD] Matt Koperniak
[CATCHER] Aaron Antonini
[CENTER_FIELD] Mike Antico
[SECOND_BASE] Brody Moore
[LEFT_FIELD] Jordan Walker
[SHORTSTOP] Masyn Winn
[SHORTSTOP] Jeremy Rivas
[PITCHER] Tink Hence
[PITCHER] Trent Baker
[DESIGNATED_HITTER] Joshua Baez
[CATCHER] Nick Raposo
[CATCHER] Jimmy Crooks
