[GAME] 719096 [DATE] 2023-03-16 [VENUE] Yankee Stadium [WEATHER] Clear 76 6

[TEAM] 147
[THIRD_BASE] Josh Donaldson
[SECOND_BASE] DJ LeMahieu
[FIRST_BASE] Anthony Rizzo
[DESIGNATED_HITTER] Giancarlo Stanton
[RIGHT_FIELD] Rafael Ortega
[PITCHER] Gerrit Cole
[LEFT_FIELD] Aaron Hicks
[CATCHER] Kyle Higashioka
[PITCHER] Ryan Weber
[PITCHER] Kaleb Cowart
[LEFT_FIELD] Aaron Judge
[PITCHER] Tommy Kahnle
[PITCHER] D.J. Snelten
[PITCHER] Domingo Germán
[PITCHER] Frankie Montas
[PITCHER] Wandy Peralta
[SHORTSTOP] Wilmer Difo
[PITCHER] Nick Ramirez
[PITCHER] Clay Holmes
[PITCHER] Carlos Rodón
[PITCHER] Matt Bowman
[PITCHER] Luis Severino
[PITCHER] Jimmy Cordero
[CATCHER] Nick Ciuffo
[CATCHER] Jose Trevino
[PITCHER] Matt Krook
[OUTFIELD] Jake Bauers
[LEFT_FIELD] Willie Calhoun
[PITCHER] Nestor Cortes
[PITCHER] Tyler Danish
[PITCHER] Ian Hamilton
[CENTER_FIELD] Michael Hermosillo
[PITCHER] Aaron McGarity
[PINCH_HITTER] Billy McKinney
[PITCHER] Lou Trivino
[THIRD_BASE] Jamie Westbrook
[PITCHER] Jonathan Loáisiga
[CENTER_FIELD] Isiah Kiner-Falefa
[SECOND_BASE] Gleyber Torres
[PITCHER] Michael King
[PITCHER] Albert Abreu
[PITCHER] James Norwood
[PITCHER] Clarke Schmidt
[CATCHER] Rodolfo Durán
[PITCHER] Luis Gil
[THIRD_BASE] Max Burt
[PITCHER] Justin Maese
[PITCHER] Gray Fenter
[RIGHT_FIELD] Brandon Lockridge
[PITCHER] Demarcus Evans
[PITCHER] Nick Ernst
[CENTER_FIELD] Harrison Bader
[PITCHER] Scott Effross
[RIGHT_FIELD] Estevan Florial
[THIRD_BASE] Oswaldo Cabrera
[SHORTSTOP] Jesús Bastidas
[SECOND_BASE] Eduardo Torrealba
[FIRST_BASE] Andrés Chaparro
[CATCHER] Carlos Narvaez
[CATCHER] Ben Rortvedt
[PITCHER] Indigo Diaz
[PITCHER] Barrett Loseke
[PITCHER] Zac Houston
[PITCHER] Tanner Tully
[CATCHER] Austin Wells
[PITCHER] Tanner Myatt
[PITCHER] Greg Weissert
[PITCHER] Lisandro Santos
[CENTER_FIELD] Jeisson Rosario
[CENTER_FIELD] Aldenis Sanchez
[SHORTSTOP] Oswald Peraza
[PITCHER] Steven Jennings
[SECOND_BASE] Luis Santos
[PITCHER] Alex Mauricio
[PITCHER] Shawn Semple
[FIRST_BASE] Tyler Hardman
[PITCHER] Michael Gomez
[CATCHER] Hemmanuel Rosario
[FIRST_BASE] Eric Wagaman
[PITCHER] Ron Marinaccio
[CATCHER] Josh Breaux
[SHORTSTOP] Roberto Chirinos
[CATCHER] Anthony Seigler
[CENTER_FIELD] Nelson Medina
[SECOND_BASE] Angel Rojas
[CATCHER] Juan Crisp
[OUTFIELD] Felix Negueis
[PITCHER] Leonardo Pestana
[PITCHER] Blas Castano
[PITCHER] Carlos Gomez
[PITCHER] Daniel Bies
[PITCHER] Jack Neely
[PITCHER] Trevor Holloway
[THIRD_BASE] T.J. Rumfield
[CATCHER] Mickey Gasper
[OUTFIELD] Matt Pita
[PITCHER] Zach Greene
[PITCHER] Sean Boyle
[CATCHER] Antonio Gomez
[PITCHER] Osiel Rodriguez
[CATCHER] Agustin Ramirez
[PITCHER] Pablo Mujica
[OUTFIELD] Spencer Jones
[SHORTSTOP] Anthony Volpe
[LEFT_FIELD] Alan Mejia
[SHORTSTOP] Alexander Vargas
[CATCHER] Omar Martinez
[PITCHER] Yorlin Calderon
[CATCHER] Jesus Rodriguez
[PITCHER] Zach Messinger
[PITCHER] Baron Stuart
[LEFT_FIELD] Elijah Dunham
[PITCHER] Blane Abeyta
[OUTFIELD] Tayler Aguilar
[FIRST_BASE] Spencer Henson
[PITCHER] Geoffrey Gilbert
[THIRD_BASE] Chad Bell
[PITCHER] Montana Semmel
[PITCHER] Mitch Spence
[PITCHER] Michael Giacone
[PITCHER] Matt Minnick
[PITCHER] Adam Stone
[PITCHER] Drew Thorpe
[DESIGNATED_HITTER] Kyle Battle
[PITCHER] Richard Fitts
[PITCHER] Clayton Beeter
[PITCHER] Jackson Fristoe
[CENTER_FIELD] Jasson Domínguez
[CATCHER] Manuel Palencia
[PITCHER] Cam Schlittler
[PITCHER] Chase Hampton
[PITCHER] Harrison Cohen
[RIGHT_FIELD] Aaron Palensky
[SHORTSTOP] Trey Sweeney
[CATCHER] Ben Rice
[SECOND_BASE] Benjamin Cowles
[PITCHER] Will Warren
[PITCHER] Matt Keating
[PITCHER] Danny Watson
[PITCHER] Sean Hermann
[SHORTSTOP] Caleb Durbin
[PITCHER] Trystan Vrieling
[CATCHER] Rafael Flores
[PITCHER] Mason Vinyard
[THIRD_BASE] Beau Brewer
[PITCHER] Alex Bustamante

[TEAM] 134
[PITCHER] Rich Hill
[DESIGNATED_HITTER] Andrew McCutchen
[FIRST_BASE] Carlos Santana
[PITCHER] Tyler Chatwood
[THIRD_BASE] Drew Maggi
[SECOND_BASE] Chris Owings
[PITCHER] Juan Minaya
[PITCHER] Caleb Smith
[CATCHER] Austin Hedges
[PITCHER] Robert Stephenson
[FIRST_BASE] Ji Man Choi
[PITCHER] Jarlín García
[PITCHER] Chase De Jong
[CATCHER] Kevin Plawecki
[DESIGNATED_HITTER] Miguel Andujar
[PITCHER] Duane Underwood Jr.
[PITCHER] Angel Perdomo
[CATCHER] Tyler Heineman
[PITCHER] Daniel Zamora
[PITCHER] Wil Crowe
[CATCHER] Jason Delay
[PITCHER] Rob Zastryzny
[SECOND_BASE] Domingo Leyba
[FIRST_BASE] Connor Joe
[PITCHER] Mitch Keller
[PITCHER] Wei-Chieh Huang
[PITCHER] Yerry De Los Santos
[PITCHER] Aaron Shortridge
[THIRD_BASE] Ke'Bryan Hayes
[RIGHT_FIELD] Mark Mathias
[PITCHER] JT Brubaker
[PITCHER] Matt Eckelman
[PITCHER] Dauri Moreta
[SHORTSTOP] Oneil Cruz
[OUTFIELD] Lolo Sanchez
[PITCHER] Mitch Miller
[SHORTSTOP] Rodolfo Castro
[LEFT_FIELD] Cal Mitchell
[LEFT_FIELD] Bryan Reynolds
[PITCHER] J.C. Flowers
[RIGHT_FIELD] Connor Scott
[PITCHER] Braeden Ogle
[LEFT_FIELD] Jack Suwinski
[THIRD_BASE] Jacob Gonzalez
[PITCHER] Carmen Mlodzinski
[PITCHER] Cameron Junker
[PITCHER] Travis MacGregor
[PITCHER] Jose E. Hernandez
[RIGHT_FIELD] Chavez Young
[PITCHER] Colin Holderman
[CATCHER] Carter Bins
[LEFT_FIELD] Matt Fraizer
[PITCHER] Nathan Webb
[PITCHER] David Bednar
[CATCHER] Abrahan Gutierrez
[PITCHER] Johan Oviedo
[PITCHER] Yohan Ramírez
[PITCHER] Roansy Contreras
[SECOND_BASE] Tucupita Marcano
[PITCHER] Noe Toribio
[PITCHER] Tahnaj Thomas
[PITCHER] Osvaldo Bido
[RIGHT_FIELD] Canaan Smith-Njigba
[PITCHER] Cody Bolton
[PITCHER] Jeffrey Passantino
[PITCHER] Hunter Stratton
[FIRST_BASE] Mason Martin
[CENTER_FIELD] Ji Hwan Bae
[CENTER_FIELD] Travis Swaggerty
[CATCHER] Henry Davis
[PITCHER] Bear Bellomy
[PITCHER] Jack Carey
[PITCHER] Brad Case
[PITCHER] Cam Alldred
[PITCHER] John O'Reilly
[THIRD_BASE] Malcom Nuñez
[CENTER_FIELD] Sergio Campana
[PITCHER] Luis L. Ortiz
[OUTFIELD] Jauri Custodio
[PITCHER] Quinn Priester
[PITCHER] Jared Jones
[SHORTSTOP] Maikol Escotto
[SECOND_BASE] Deivis Nadal
[SHORTSTOP] Luis Tejeda
[CATCHER] Luis Hernandez
[THIRD_BASE] Ronny Sanchez
[CENTER_FIELD] Matt Gorski
[LEFT_FIELD] Sammy Siani
[CATCHER] Dylan Shockley
[FIRST_BASE] Will Matthiessen
[SHORTSTOP] Brenden Dixon
[SHORTSTOP] Andrés Alvarez
[PITCHER] Grant Ford
[THIRD_BASE] Jack Brannigan
[OUTFIELD] Hudson Head
[SECOND_BASE] Jase Bowen
[FIRST_BASE] Aaron Shackelford
[CENTER_FIELD] Deion Walker
[THIRD_BASE] Ernny Ordonez
[CATCHER] Wyatt Hendrie
[THIRD_BASE] Jackson Glenn
[OUTFIELD] Mike Jarvis
[SHORTSTOP] Jesus Castillo
[SHORTSTOP] Javier Rivas
[OUTFIELD] Enmanuel Terrero
[CATCHER] Omar Alfonzo
[SECOND_BASE] Nick Gonzales
[PITCHER] Kyle Nicolas
[OUTFIELD] Shalin Polanco
[PITCHER] Nick Dombkowski
[PITCHER] Tyler Samaniego
[SHORTSTOP] Termarr Johnson
[SHORTSTOP] Yordany De Los Santos

[GAME_START]
[PLAY] Groundout [BATTER] Oneil Cruz [PITCHER] Clarke Schmidt [FIELDERS] DJ LeMahieu [MOVEMENTS] Oneil Cruz home -> home [out]
[PLAY] Groundout [BATTER] Tucupita Marcano [PITCHER] Clarke Schmidt [FIELDERS] DJ LeMahieu [MOVEMENTS] Tucupita Marcano home -> home [out]
[PLAY] Flyout [BATTER] Ke'Bryan Hayes [PITCHER] Clarke Schmidt [FIELDERS] Oswaldo Cabrera [MOVEMENTS] Ke'Bryan Hayes home -> home [out]
[PLAY] Single [BATTER] DJ LeMahieu [PITCHER] Johan Oviedo [MOVEMENTS] DJ LeMahieu home -> 1
[PLAY] Double [BATTER] Aaron Judge [PITCHER] Johan Oviedo [MOVEMENTS] Aaron Judge home -> 2, Aaron Judge 2 -> 3, DJ LeMahieu 1 -> 3, DJ LeMahieu 3 -> 4
[PLAY] Strikeout [BATTER] Anthony Rizzo [PITCHER] Johan Oviedo [MOVEMENTS] Anthony Rizzo home -> home [out]
[PLAY] Groundout [BATTER] Giancarlo Stanton [PITCHER] Johan Oviedo [FIELDERS] Tucupita Marcano [MOVEMENTS] Giancarlo Stanton home -> home [out], Aaron Judge 3 -> 4
[PLAY] Groundout [BATTER] Josh Donaldson [PITCHER] Johan Oviedo [FIELDERS] Ke'Bryan Hayes [MOVEMENTS] Josh Donaldson home -> home [out]
[PLAY] Groundout [BATTER] Carlos Santana [PITCHER] Clarke Schmidt [FIELDERS] Anthony Rizzo [MOVEMENTS] Carlos Santana home -> home [out]
[PLAY] Strikeout [BATTER] Cal Mitchell [PITCHER] Clarke Schmidt [MOVEMENTS] Cal Mitchell home -> home [out]
[PLAY] Groundout [BATTER] Mark Mathias [PITCHER] Clarke Schmidt [FIELDERS] Josh Donaldson [MOVEMENTS] Mark Mathias home -> home [out]
[PLAY] Walk [BATTER] Oswaldo Cabrera [PITCHER] Johan Oviedo [MOVEMENTS] Oswaldo Cabrera home -> 1
[PLAY] Walk [BATTER] Oswald Peraza [PITCHER] Johan Oviedo [MOVEMENTS] Oswaldo Cabrera 1 -> home [out], Oswald Peraza home -> 1
[PLAY] Walk [BATTER] Rafael Ortega [PITCHER] Johan Oviedo [MOVEMENTS] Oswald Peraza 1 -> 2, Rafael Ortega home -> 1
[PLAY] Strikeout [BATTER] Carlos Narvaez [PITCHER] Johan Oviedo [MOVEMENTS] Carlos Narvaez home -> home [out]
[PLAY] Strikeout [BATTER] DJ LeMahieu [PITCHER] Johan Oviedo [MOVEMENTS] DJ LeMahieu home -> home [out]
[PLAY] Strikeout [BATTER] Miguel Andujar [PITCHER] Clarke Schmidt [MOVEMENTS] Miguel Andujar home -> home [out]
[PLAY] Groundout [BATTER] Travis Swaggerty [PITCHER] Clarke Schmidt [FIELDERS] DJ LeMahieu [MOVEMENTS] Travis Swaggerty home -> home [out]
[PLAY] Groundout [BATTER] Austin Hedges [PITCHER] Clarke Schmidt [FIELDERS] Josh Donaldson [MOVEMENTS] Austin Hedges home -> home [out]
[PLAY] Flyout [BATTER] Aaron Judge [PITCHER] Johan Oviedo [FIELDERS] Mark Mathias [MOVEMENTS] Aaron Judge home -> home [out]
[PLAY] Groundout [BATTER] Anthony Rizzo [PITCHER] Johan Oviedo [FIELDERS] Tucupita Marcano [MOVEMENTS] Anthony Rizzo home -> home [out]
[PLAY] Pop Out [BATTER] Giancarlo Stanton [PITCHER] Johan Oviedo [FIELDERS] Carlos Santana [MOVEMENTS] Giancarlo Stanton home -> home [out]
[PLAY] Strikeout [BATTER] Oneil Cruz [PITCHER] Clarke Schmidt [MOVEMENTS] Oneil Cruz home -> home [out]
[PLAY] Strikeout [BATTER] Tucupita Marcano [PITCHER] Clarke Schmidt [MOVEMENTS] Tucupita Marcano home -> home [out]
[PLAY] Strikeout [BATTER] Ke'Bryan Hayes [PITCHER] Clarke Schmidt [MOVEMENTS] Ke'Bryan Hayes home -> home [out]
[PLAY] Groundout [BATTER] Josh Donaldson [PITCHER] Johan Oviedo [FIELDERS] Oneil Cruz [MOVEMENTS] Josh Donaldson home -> home [out]
[PLAY] Lineout [BATTER] Oswaldo Cabrera [PITCHER] Wil Crowe [FIELDERS] Oneil Cruz [MOVEMENTS] Oswaldo Cabrera home -> home [out]
[PLAY] Single [BATTER] Oswald Peraza [PITCHER] Wil Crowe [MOVEMENTS] Oswald Peraza home -> 1
